Key,Text,Tooltip,English,Source,OverrideByKey,MappedByPattern,MappedByText,Vanilla,Leiwai,Procrastinator,PikaMan,Mtu,File
building_chains_chain_tooltip_hv_subtown_confucius,孔子学院序列,True,Confucius Institute,MappedByText,,,孔子学院序列,,,孔子学院序列,,,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_danyang,丹阳军序列,True,Danyang Troop Post,MappedByText,,,丹阳军序列,,,丹阳军序列,,,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_garrison,地方巡卫军序列,True,Vigilante ,Procrastinator,,,,,,地方巡卫军序列,地方巡卫军,,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_garrison_sun_jian,[[col:flavour]]士族庄园序列[[/col]],True,[[col:flavour]]Local Noble's Estate[[/col]],MappedByText,,,[[col:flavour]]士族庄园序列[[/col]],,,[[col:flavour]]士族庄园序列[[/col]],地方豪强,,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_han_small_farm,补给管理序列,True,Supply Management,MappedByText,,,补给管理序列,,,补给管理序列,,,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_nanman,狩猎区序列,True,Hunting Area,MappedByText,,,狩猎区序列,,,狩猎区序列,,,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_nanman_outpost,南境市肆序列,True,Nanman-Han Trading Post,MappedByText,,,南境市肆序列,,,南境市肆序列,,,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_qiang,羌人部落序列,True,Qiang Tribe,Procrastinator,,,,,,羌人部落序列,羌人部落,,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_shanyue,山越部落序列,True,Shanyue Tribe,Procrastinator,,,,,,山越部落序列,山越部落,,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_wuhuan,东胡部落序列,True,Wuhuan Tribe,Procrastinator,,,,,,东胡部落序列,乌桓部落,,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_xiongnu,匈奴部落序列,True,Xiongnu Tribe,Procrastinator,,,,,,匈奴部落序列,匈奴部落,,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_ytr,太平道序列,False,Yellow Turban Cult,MappedByText,,,太平道序列,,,太平道序列,,,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_confucius,孔子学院序列,True,Confucius Institute,MappedByText,,,孔子学院序列,,,孔子学院序列,,,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_danyang,丹阳军序列,True,Danyang Troop Post,MappedByText,,,丹阳军序列,,,丹阳军序列,,,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_garrison,地方巡卫军序列,True,Vigilante ,Procrastinator,,,,,,地方巡卫军序列,地方巡卫军,,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_garrison_sun_jian,士族庄园序列,True,Local Noble's Estate,MappedByText,,,士族庄园序列,,,士族庄园序列,地方豪强,,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_han_small_farm,补给管理序列,True,Supply Management,MappedByText,,,补给管理序列,,,补给管理序列,,,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_nanman,狩猎区序列,True,Hunting Area,MappedByText,,,狩猎区序列,,,狩猎区序列,,,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_nanman_outpost,南境市肆序列,True,Nanman-Han Trading Post,MappedByText,,,南境市肆序列,,,南境市肆序列,,,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_qiang,羌人部落序列,True,Qiang Tribe,Procrastinator,,,,,,羌人部落序列,羌人部落,,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_shanyue,山越部落序列,True,Shanyue Tribe,Procrastinator,,,,,,山越部落序列,山越部落,,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_wuhuan,东胡部落序列,True,Wuhuan Tribe,Procrastinator,,,,,,东胡部落序列,乌桓部落,,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_xiongnu,匈奴部落序列,True,Xiongnu Tribe,Procrastinator,,,,,,匈奴部落序列,匈奴部落,,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_ytr,太平道序列,False,Yellow Turban Cult,MappedByText,,,太平道序列,,,太平道序列,,,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_confucius,贤师高徒汇聚之所。,True,A place where great teachers and passionate students gather.,MappedByText,,,贤师高徒汇聚之所。,,,贤师高徒汇聚之所。,,,hv_TEXT_building.loc.tsv
