Key,Text,Tooltip,English,Override by key,Mapped by text,Mapped by pattern,Vanilla,2.2 translation,2.2 translation shortened key,Source,Short Key,File
----ability name----,,False,,,,,,,,Missing,----ability name----,hv_TEXT_skills_skill_ability_name_desc.loc.tsv
----skill name----,,False,,,,,,,,Missing,----skill name----,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
campaign_payload_ui_details_description_hv_dilemma_dongbai,,False,Character Joins: Dong Bai,,,,,,,Missing,campaign_payload_ui_details_description_hv_dilemma,hv_TEXT_events.loc.tsv
campaign_payload_ui_details_description_hv_dilemma_kill_dong_bai,,False,The house of Dong is destroyed.,,,,,,,Missing,campaign_payload_ui_details_description_hv_dilemma_kill_dong,hv_TEXT_events.loc.tsv
campaign_payload_ui_details_description_hv_incident_ytr_resurrection,,True,Thousands of comrades across China will rise against oppression.,,,,,,,Missing,campaign_payload_ui_details_description_hv_incident_ytr,hv_TEXT_events.loc.tsv
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_dong_bai_dlc05FIRST,,False,Take her,,,,,,,Missing,cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_dong_bai,hv_TEXT_events.loc.tsv
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_dong_bai_dlc05SECOND,,False,Kill her,,,,,,,Missing,cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_dong_bai,hv_TEXT_events.loc.tsv
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_dong_bai_dlc07FIRST,,True,Take her,,,,,,,Missing,cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_dong_bai,hv_TEXT_events.loc.tsv
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_dong_bai_dlc07SECOND,,True,Kill her,,,,,,,Missing,cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_dong_bai,hv_TEXT_events.loc.tsv
cdir_events_dilemma_choice_details_localised_choice_title_hv_dilemma_dong_bai_dlc05FIRST,,False,There is no sin against this innocent girl.,,,,,,,Missing,cdir_events_dilemma_choice_details_localised_choice_title_hv_dilemma_dong_bai,hv_TEXT_events.loc.tsv
cdir_events_dilemma_choice_details_localised_choice_title_hv_dilemma_dong_bai_dlc07FIRST,,True,There is no sin against this innocent girl.,,,,,,,Missing,cdir_events_dilemma_choice_details_localised_choice_title_hv_dilemma_dong_bai,hv_TEXT_events.loc.tsv
ceo_nodes_description_3k_mtu_ancillary_lady_zou_yuans_armour_unique,,True,Lady Cai's clothes are thin but soft and sturdy.,,,,,,,Missing,ceo_nodes_description_3k_mtu_ancillary_lady_zou_yuans_armour,hv_TEXT_ceo_armour.loc.tsv
ceo_nodes_description_3k_mtu_ceo_node_career_historical_lady_zou_yuan_01,,False,The house of Cai is the most famous noble family in Jingzhou. Lady Cai is willing to use the power.,,,,,,,Missing,ceo_nodes_description_3k_mtu_ceo_node_career_historical_lady_zou_yuan,hv_TEXT_ceo_career.loc.tsv
ceo_nodes_title_3k_mtu_ancillary_lady_zou_yuans_armour_unique,,True,Lady Cai's Embroidered Garments,,,,,,,Missing,ceo_nodes_title_3k_mtu_ancillary_lady_zou_yuans_armour,hv_TEXT_ceo_armour.loc.tsv
ceo_nodes_title_3k_mtu_ceo_node_career_historical_lady_zou_yuan_01,,False,The Lady of Jingzhou,,,,,,,Missing,ceo_nodes_title_3k_mtu_ceo_node_career_historical_lady_zou_yuan,hv_TEXT_ceo_career.loc.tsv
ceo_nodes_title_ep_ancillary_sima_ying_armour_unique,,True,Chen Deng's Armour,,,,,,,Missing,ceo_nodes_title_ep_ancillary_sima_ying_armour,hv_TEXT_ceo_career.loc.tsv
ceo_nodes_title_hv_ceo_node_career_historical_chen_deng_01,,True,Man For All Seasons,,,,,,,Missing,ceo_nodes_title_hv_ceo_node_career_historical_chen_deng,hv_TEXT_ceo_career.loc.tsv
character_skills_localised_description_hv_skill_ability_crossing_of_the_styx_healer,,True,Did you get the boat fare? Heaven! Earth! Mankind!!,,,,,,,Missing,character_skills_localised_description_hv_skill_ability_crossing_of_the_styx,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
character_skills_localised_description_hv_skill_ability_crossing_of_the_styx_scholar,,True,Did you get the boat fare? Heaven! Earth! Mankind!!,,,,,,,Missing,character_skills_localised_description_hv_skill_ability_crossing_of_the_styx,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
character_skills_localised_description_hv_skill_ability_youzansen_expertise,,True,Cut down enemies by making an arc with a blade,,,,,,,Missing,character_skills_localised_description_hv_skill_ability_youzansen,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
character_skills_localised_description_hv_skill_ability_youzansen_instinct,,True,Cut down enemies by making an arc with a blade,,,,,,,Missing,character_skills_localised_description_hv_skill_ability_youzansen,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
character_skills_localised_description_hv_skill_ability_youzansen_resolve,,True,Cut down enemies by making an arc with a blade,,,,,,,Missing,character_skills_localised_description_hv_skill_ability_youzansen,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
character_skills_localised_name_hv_skill_ability_crossing_of_the_styx_healer,,True,Crossing of the River Sanzu,,,,,,,Missing,character_skills_localised_name_hv_skill_ability_crossing_of_the_styx,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
character_skills_localised_name_hv_skill_ability_crossing_of_the_styx_scholar,,True,Crossing of the River Sanzu,,,,,,,Missing,character_skills_localised_name_hv_skill_ability_crossing_of_the_styx,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_zou_yuan_01,,False,The Lady of Jingzhou,,,,,,,Missing,custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_zou_yuan,hv_TEXT_ceo_career.loc.tsv
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_zou_yuan_02,,False,The Lady of Jingzhou,,,,,,,Missing,custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_zou_yuan,hv_TEXT_ceo_career.loc.tsv
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_zou_yuan_03,,False,The Lady of Jingzhou,,,,,,,Missing,custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_zou_yuan,hv_TEXT_ceo_career.loc.tsv
custom_battle_loadouts_name_hv_cb_loadout_fa_zheng_01,,False,Fa Zheng,,,,,,,Missing,custom_battle_loadouts_name_hv_cb_loadout_fa_zheng,hv_TEXT_cb_loadout.loc.tsv
custom_battle_loadouts_name_hv_cb_loadout_ji_ling_01,,False,Ji Ling,,,,,,,Missing,custom_battle_loadouts_name_hv_cb_loadout_ji_ling,hv_TEXT_cb_loadout.loc.tsv
custom_battle_loadouts_name_hv_cb_loadout_jiang_qin_01,,False,Jiang Qin,,,,,,,Missing,custom_battle_loadouts_name_hv_cb_loadout_jiang_qin,hv_TEXT_cb_loadout.loc.tsv
custom_battle_loadouts_name_hv_cb_loadout_lady_trieu_01,,False,Lady Trieu,,,,,,,Missing,custom_battle_loadouts_name_hv_cb_loadout_lady_trieu,hv_TEXT_cb_loadout.loc.tsv
custom_battle_loadouts_name_hv_cb_loadout_lady_trieu_02,,False,Lady Trieu [[img:unit_elephant]][[/img]],,,,,,,Missing,custom_battle_loadouts_name_hv_cb_loadout_lady_trieu,hv_TEXT_cb_loadout.loc.tsv
custom_battle_loadouts_name_hv_cb_loadout_wu_anguo_01,,False,Wu Anguo,,,,,,,Missing,custom_battle_loadouts_name_hv_cb_loadout_wu_anguo,hv_TEXT_cb_loadout.loc.tsv
custom_battle_loadouts_name_hv_cb_loadout_zhang_fang_01,,False,Zhang Fang,,,,,,,Missing,custom_battle_loadouts_name_hv_cb_loadout_zhang_fang,hv_TEXT_cb_loadout.loc.tsv
dilemmas_localised_description_hv_dilemma_dong_bai_dlc05,,False,"A group of beggars appears before you. Among them, a girl dressed nicely comes forward and bows. The girl identifies herself as Dong Bai, the last kin of the tyrant Dong Zhuo, and begs you to take her.",,,,,,,Missing,dilemmas_localised_description_hv_dilemma_dong_bai,hv_TEXT_events.loc.tsv
dilemmas_localised_description_hv_dilemma_dong_bai_dlc07,,True,"A group of beggars appears before you. Among them, a girl dressed nicely comes forward and bows. The girl identifies herself as Dong Bai, the last kin of the tyrant Dong Zhuo, and begs you to take her.",,,,,,,Missing,dilemmas_localised_description_hv_dilemma_dong_bai,hv_TEXT_events.loc.tsv
dilemmas_localised_title_hv_dilemma_dong_bai_dlc05,,False,The Last Kin of the Dong Zhuo,,,,,,,Missing,dilemmas_localised_title_hv_dilemma_dong_bai,hv_TEXT_events.loc.tsv
dilemmas_localised_title_hv_dilemma_dong_bai_dlc07,,True,The Last Kin of the Dong Zhuo,,,,,,,Missing,dilemmas_localised_title_hv_dilemma_dong_bai,hv_TEXT_events.loc.tsv
effect_bundles_localised_description_hv_effect_bundle_pooled_reosource_ytr_0,,True,The fervour is now only left in the white ashes.,,,,,,,Missing,effect_bundles_localised_description_hv_effect_bundle_pooled_reosource_ytr,hv_TEXT_effects_pooled_resource.loc.tsv
effect_bundles_localised_description_hv_effect_bundle_pooled_reosource_ytr_1,,True,Small but clear.,,,,,,,Missing,effect_bundles_localised_description_hv_effect_bundle_pooled_reosource_ytr,hv_TEXT_effects_pooled_resource.loc.tsv
effect_bundles_localised_description_hv_effect_bundle_pooled_reosource_ytr_2,,True,A second wind has come.,,,,,,,Missing,effect_bundles_localised_description_hv_effect_bundle_pooled_reosource_ytr,hv_TEXT_effects_pooled_resource.loc.tsv
effect_bundles_localised_description_hv_effect_bundle_pooled_reosource_ytr_3,,True,Ready to colour the world once again.,,,,,,,Missing,effect_bundles_localised_description_hv_effect_bundle_pooled_reosource_ytr,hv_TEXT_effects_pooled_resource.loc.tsv
effect_bundles_localised_description_hv_effect_bundle_pooled_reosource_ytr_4,,True,It will be different this time. Obviously...,,,,,,,Missing,effect_bundles_localised_description_hv_effect_bundle_pooled_reosource_ytr,hv_TEXT_effects_pooled_resource.loc.tsv
effect_bundles_localised_description_hv_effect_bundle_pooled_reosource_ytr_5,,True,It will be different this time. Obviously...,,,,,,,Missing,effect_bundles_localised_description_hv_effect_bundle_pooled_reosource_ytr,hv_TEXT_effects_pooled_resource.loc.tsv
effect_bundles_localised_description_hv_frontend_leader_gongsun_zan_specialisation,,False,[[b]]Stratocracy[[/b]] is this faction's unique resource.\\n\\n[[i]][[col:flavour]] An inevitable rule to stabilize the turmoil. [[/col]],,,,,,,Missing,effect_bundles_localised_description_hv_frontend_leader_gongsun_zan,hv_TEXT_frontend_features.loc.tsv
effect_bundles_localised_description_hv_frontend_leader_liu_chong_specialisation,,False,"[[b]]Fortitude[[/b]] is this faction's unique resource.\\n\\n[[i]][[col:flavour]] With bravery and discipline, Liu Chong inspires his men and puts fear into the enemies of the imperial palace. [[/col]][[/i]] \\n\\n",,,,,,,Missing,effect_bundles_localised_description_hv_frontend_leader_liu_chong,hv_TEXT_frontend_features.loc.tsv
effect_bundles_localised_description_hv_frontend_leader_ma_teng_specialisation,,False,[[b]]Horse Breeding[[/b]] is this faction's unique resource.\\n\\n[[i]][[col:flavour]] Ferghana horses are bred to equip cavalry forces. [[/col]][[/i]],,,,,,,Missing,effect_bundles_localised_description_hv_frontend_leader_ma_teng,hv_TEXT_frontend_features.loc.tsv
effect_bundles_localised_description_hv_frontend_leader_zhang_yan_specialisation,,False,[[b]]Black Mountain[[/b]] is this faction's unique resource.\\n\\n[[i]][[col:flavour]] Black Mountain bandits exploit the chaos to bolster their numbers. [[/col]][[/i]],,,,,,,Missing,effect_bundles_localised_description_hv_frontend_leader_zhang_yan,hv_TEXT_frontend_features.loc.tsv
effect_bundles_localised_description_hv_script_effect_bundle_dong_bai,,True,"No one welcomes them, and everyone cast doubt to your decision.",,,,,,,Missing,effect_bundles_localised_description_hv_script_effect_bundle_dong,hv_TEXT_effects_events.loc.tsv
effect_bundles_localised_description_hv_script_effect_bundle_exodus,,True,Lu Bu's retinues want to join us quickly. We may  focus on military redeployment.,,,,,,,Missing,effect_bundles_localised_description_hv_script_effect_bundle,hv_TEXT_effects_events.loc.tsv
effect_bundles_localised_description_hv_script_effect_bundle_lu_bu_legacy,,True,Remnants of Lu Bu's faction have joined us. We may focus on military redeployment.,,,,,,,Missing,effect_bundles_localised_description_hv_script_effect_bundle_lu_bu,hv_TEXT_effects_events.loc.tsv
effect_bundles_localised_description_hv_script_effect_bundle_yuan_shu_legacy,,True,Remnants of Yuan Shu's faction have joined us. We may focus on military redeployment.,,,,,,,Missing,effect_bundles_localised_description_hv_script_effect_bundle_yuan_shu,hv_TEXT_effects_events.loc.tsv
effect_bundles_localised_title_hv_effect_bundle_pooled_reosource_ytr_0,,True,Resurrection: Ash,,,,,,,Missing,effect_bundles_localised_title_hv_effect_bundle_pooled_reosource_ytr,hv_TEXT_effects_pooled_resource.loc.tsv
effect_bundles_localised_title_hv_effect_bundle_pooled_reosource_ytr_1,,True,Resurrection: Ember,,,,,,,Missing,effect_bundles_localised_title_hv_effect_bundle_pooled_reosource_ytr,hv_TEXT_effects_pooled_resource.loc.tsv
effect_bundles_localised_title_hv_effect_bundle_pooled_reosource_ytr_2,,True,Resurrection: Reignite,,,,,,,Missing,effect_bundles_localised_title_hv_effect_bundle_pooled_reosource_ytr,hv_TEXT_effects_pooled_resource.loc.tsv
effect_bundles_localised_title_hv_effect_bundle_pooled_reosource_ytr_3,,True,Resurrection: Wild Fire,,,,,,,Missing,effect_bundles_localised_title_hv_effect_bundle_pooled_reosource_ytr,hv_TEXT_effects_pooled_resource.loc.tsv
effect_bundles_localised_title_hv_effect_bundle_pooled_reosource_ytr_4,,True,Resurrection: Great Fire,,,,,,,Missing,effect_bundles_localised_title_hv_effect_bundle_pooled_reosource_ytr,hv_TEXT_effects_pooled_resource.loc.tsv
effect_bundles_localised_title_hv_effect_bundle_pooled_reosource_ytr_5,,True,Resurrection: Great Fire (Complelete),,,,,,,Missing,effect_bundles_localised_title_hv_effect_bundle_pooled_reosource_ytr,hv_TEXT_effects_pooled_resource.loc.tsv
effect_bundles_localised_title_hv_script_effect_bundle_dong_bai,,False,The Last Kin of the Dong Zhuo,,,,,,,Missing,effect_bundles_localised_title_hv_script_effect_bundle_dong,hv_TEXT_effects_events.loc.tsv
effect_bundles_localised_title_hv_script_effect_bundle_exodus,,False,Lu Bu's Retinues,,,,,,,Missing,effect_bundles_localised_title_hv_script_effect_bundle,hv_TEXT_effects_events.loc.tsv
effect_bundles_localised_title_hv_script_effect_bundle_yuan_northern,,False,Northern Army Captains,,,,,,,Missing,effect_bundles_localised_title_hv_script_effect_bundle_yuan,hv_TEXT_events.loc.tsv
effects_description_3k_main_dummy_faction_progression_emperor_proclamation_info,,False,The first three warlords to be named king will proclaim themselves emperor.,,,,,,,Missing,effects_description_3k_main_dummy_faction_progression_emperor_proclamation,!hv_TEXT_system.loc.tsv
effects_description_hv_dummy_effect_ytr_resurrection,,True,"When your faction reached Enlightened, there will be Yellow Turban rebellion across China.",,,,,,,Missing,effects_description_hv_dummy_effect_ytr,hv_TEXT_effects_pooled_resource.loc.tsv
effects_description_hv_effect_charge_bonus_ranged_cavalry,,True,[[b]]%+n%[[/b]] charge bonus for Mounted Archer units,,,,,,,Missing,effects_description_hv_effect_charge_bonus_ranged,hv_TEXT_effects_technology.loc.tsv
effects_description_hv_effect_dummy_coin_confuse_event,,True,Causes temporary social turmoil,,,,,,,Missing,effects_description_hv_effect_dummy_coin_confuse,hv_TEXT_effects_technology.loc.tsv
effects_description_hv_effect_dummy_northern_army_unlock,,True,Unlocks Northern Army Buqu units [[col:scope_description]](own retinue)[[/col]],,,,,,,Missing,effects_description_hv_effect_dummy_northern_army,hv_TEXT_effects_ceo.loc.tsv
effects_description_hv_effect_dummy_northern_army_unlock_elite,,True,Unlocks Northern Army Elite units [[col:scope_description]](own retinue)[[/col]],,,,,,,Missing,effects_description_hv_effect_dummy_northern_army_unlock,hv_TEXT_effects_ceo.loc.tsv
effects_description_hv_effect_dummy_unlock_unit_buqu_of_the_left,,True,Replaces unit: {{tr:hv_unit_buqu_of_the_left}} ({{tr:hv_unit_buqu_archers}}),,,,,,,Missing,effects_description_hv_effect_dummy_unlock_unit_buqu_of_the,hv_TEXT_skills_additional.loc.tsv
effects_description_hv_effect_dummy_unlock_unit_destroyer_of_traitors,,True,Replaces unit: {{tr:hv_unit_destroyer_of_traitors}} ({{tr:hv_unit_elite_2h_spear_cavalry}}),,,,,,,Missing,effects_description_hv_effect_dummy_unlock_unit_destroyer_of,hv_TEXT_skills_additional.loc.tsv
effects_description_hv_effect_dummy_unlock_unit_handmaid_guard,,True,Replaces unit: {{tr:hv_unit_handmaid_guard}},,,,,,,Missing,effects_description_hv_effect_dummy_unlock_unit_handmaid,hv_TEXT_skills_additional.loc.tsv
effects_description_hv_effect_dummy_unlock_unit_swallow_cavalry,,True,Replaces unit: {{tr:hv_unit_swallow_cavalry}} ({{tr:hv_unit_bandits_2h_spear_cavalry}}),,,,,,,Missing,effects_description_hv_effect_dummy_unlock_unit_swallow,hv_TEXT_skills_additional.loc.tsv
effects_description_hv_effect_dummy_xiliang_army_unlock,,True,Unlocks Xiliang Army Buqu units [[col:scope_description]](own retinue)[[/col]],,,,,,,Missing,effects_description_hv_effect_dummy_xiliang_army,hv_TEXT_effects_ceo.loc.tsv
effects_description_hv_effect_dummy_xiliang_army_unlock_elite,,True,Unlocks Xiliang Army Elite units [[col:scope_description]](own retinue)[[/col]],,,,,,,Missing,effects_description_hv_effect_dummy_xiliang_army_unlock,hv_TEXT_effects_ceo.loc.tsv
effects_description_hv_effect_pooled_resource_ytr_decay_rate_1,,True,%-n resurrection decay,,,,,,,Missing,effects_description_hv_effect_pooled_resource_ytr_decay_rate,hv_TEXT_effects_pooled_resource.loc.tsv
effects_description_hv_effect_pooled_resource_ytr_population,,True,[[b]]%+n[[/b]] resurrection,,,,,,,Missing,effects_description_hv_effect_pooled_resource_ytr,hv_TEXT_effects_pooled_resource.loc.tsv
effects_description_hv_effect_recruitment_cost_ranged_cavalry,,True,[[b]]%+n%[[/b]] recruitment cost for Mounted Archer units,,,,,,,Missing,effects_description_hv_effect_recruitment_cost_ranged,hv_TEXT_effects_technology.loc.tsv
effects_description_hv_effect_unit_cap_fire_archers,,True,Fire Archers: for recruitment: %+n,,,,,,,Missing,effects_description_hv_effect_unit_cap_fire,hv_TEXT_effects_unit_cap.loc.tsv
effects_description_hv_effect_unit_cap_followers_of_the_flame,,True,Followers of the Flame: for recruitment: %+n,,,,,,,Missing,effects_description_hv_effect_unit_cap_followers_of_the,hv_TEXT_effects_unit_cap.loc.tsv
effects_description_hv_effect_unit_cap_might_of_the_valley,,True,Might of the Valley: for recruitment: %+n,,,,,,,Missing,effects_description_hv_effect_unit_cap_might_of_the,hv_TEXT_effects_unit_cap.loc.tsv
effects_description_hv_effect_unit_cap_ravine_warriors,,True,Ravine Warriors: for recruitment: %+n,,,,,,,Missing,effects_description_hv_effect_unit_cap_ravine,hv_TEXT_effects_unit_cap.loc.tsv
effects_description_hv_effect_unit_cap_sanjiang_poison_darts,,True,Sanjiang Poison Darts: for recruitment: %+n,,,,,,,Missing,effects_description_hv_effect_unit_cap_sanjiang_poison,hv_TEXT_effects_unit_cap.loc.tsv
effects_description_hv_effect_unit_cap_wolf_pack,,True,Wolf Pack: for recruitment: %+n,,,,,,,Missing,effects_description_hv_effect_unit_cap_wolf,hv_TEXT_effects_unit_cap.loc.tsv
effects_description_hv_effect_unit_cap_wugou_axe_throwers,,True,Wuguo Axe Throwers: for recruitment: %+n,,,,,,,Missing,effects_description_hv_effect_unit_cap_wugou_axe,hv_TEXT_effects_unit_cap.loc.tsv
effects_description_hv_effect_unit_cap_wuling_fighters,,True,Wuling Fighters: for recruitment: %+n,,,,,,,Missing,effects_description_hv_effect_unit_cap_wuling,hv_TEXT_effects_unit_cap.loc.tsv
effects_description_hv_effect_unlock_crossing_of_the_styx,,True,Ability: Crossing of the River Sanzu,,,,,,,Missing,effects_description_hv_effect_unlock_crossing_of_the,hv_TEXT_skills_skill_enable_effect.loc.tsv
frontend_faction_leader_unique_characters_localised_description_3k_mtu_template_historical_chen_jiu_hero_wood_190,,False,"[[b]]Pang De[[/b]]\\nWhite Horse General\\n\\nGeneral type: {{tr:3k_general_type_wood}}\\n\\n[[col:flavour]][[i]]Pang De is an unrelenting force, whose avowed enemies know they must face him sooner or later.[[/col]][[/i]]",,,,,,,Missing,frontend_faction_leader_unique_characters_localised_description_3k_mtu_template_historical_chen_jiu_hero_wood,hv_TEXT_frontend_features.loc.tsv
frontend_faction_leader_unique_characters_localised_description_3k_mtu_template_historical_chen_jiu_hero_wood_194,,False,"[[b]]Pang De[[/b]]\\nWhite Horse General\\n\\nGeneral type: {{tr:3k_general_type_wood}}\\n\\n[[col:flavour]][[i]]Pang De is an unrelenting force, whose avowed enemies know they must face him sooner or later.[[/col]][[/i]]",,,,,,,Missing,frontend_faction_leader_unique_characters_localised_description_3k_mtu_template_historical_chen_jiu_hero_wood,hv_TEXT_frontend_features.loc.tsv
