Text,Mapped,Count,Override (manual),Override (pattern),C1,Unit type,Unit name,Unit key,Old,File,Duplicated,zhtw
%-n black mountain decay,%-n黑山衰退,0,%-n黑山衰退,,,,,,,,False,True
%-n horse breeding decay,%-n养马衰退,0,%-n养马衰退,,,,,,,,False,True
%n Siege Towers per item (at siege escalation),,0,,,,,,,,,False,True
%-n stratocracy decay,%-n军政衰退,0,%-n军政衰退,,,,,,,,False,True
"...dividing up the empire, parcelling it out in fiefs to the various kings and marquises, he was hailed as the mighty conqueror...",,0,,,,,,,,,False,True
[[b]]%+n%[[/b]] additional melee hit bonus,近战命中加成 [[b]]%+n%[[/b]],0,,近战命中加成 [[b]]%+n%[[/b]],近战命中加成,,,,,,False,True
[[b]]%+n%[[/b]] additional melee hit bonus for melee infantry,近战步兵近战命中加成 [[b]]%+n%[[/b]],0,,近战步兵近战命中加成 [[b]]%+n%[[/b]],近战命中加成,近战步兵,,melee infantry,,,False,True
[[b]]%+n%[[/b]] additional melee hit bonus for Militia units,民兵近战命中加成 [[b]]%+n%[[/b]],0,,民兵近战命中加成 [[b]]%+n%[[/b]],近战命中加成,民兵,,Militia,,,False,True
[[b]]%+n%[[/b]] additional melee hit bonus in enemy territory,近战命中加成 [[b]]%+n%[[/b]],0,,近战命中加成 [[b]]%+n%[[/b]],近战命中加成,,,,,,False,True
[[b]]%+n%[[/b]] additional melee hit bonus in own territory,近战命中加成 [[b]]%+n%[[/b]],0,,近战命中加成 [[b]]%+n%[[/b]],近战命中加成,,,,,,False,True
[[b]]%+n%[[/b]] ammunition for ranged units,远程箭矢量 [[b]]%+n%[[/b]],0,,远程箭矢量 [[b]]%+n%[[/b]],箭矢量,远程,,ranged,,,False,True
[[b]]%+n%[[/b]] armour cost for Yue units,山越护甲费用 [[b]]%+n%[[/b]],0,,山越护甲费用 [[b]]%+n%[[/b]],护甲费用,山越,,Yue,,,False,True
[[b]]%+n%[[/b]] armour for melee infantry,近战步兵护甲 [[b]]%+n%[[/b]],0,,近战步兵护甲 [[b]]%+n%[[/b]],护甲,近战步兵,,melee infantry,,,False,True
[[b]]%+n%[[/b]] battle running speed for cavalry units,骑兵战场奔跑速度 [[b]]%+n%[[/b]],0,,骑兵战场奔跑速度 [[b]]%+n%[[/b]],战场奔跑速度,骑兵,骑兵,cavalry,,,False,True
[[b]]%+n%[[/b]] battle running speed for heavy infantry units,重装步兵战场奔跑速度 [[b]]%+n%[[/b]],0,,重装步兵战场奔跑速度 [[b]]%+n%[[/b]],战场奔跑速度,重装步兵,,heavy infantry,,,False,True
[[b]]%+n%[[/b]] battle running speed for light Infantry,轻装步兵战场奔跑速度 [[b]]%+n%[[/b]],0,,轻装步兵战场奔跑速度 [[b]]%+n%[[/b]],战场奔跑速度,轻装步兵,,light Infantry,,,False,True
[[b]]%+n%[[/b]] building conversion cost,建筑改造费用 [[b]]%+n%[[/b]],0,,建筑改造费用 [[b]]%+n%[[/b]],建筑改造费用,,,,,,False,True
[[b]]%+n%[[/b]] campaign sight,战役地图视野 [[b]]%+n%[[/b]],0,,战役地图视野 [[b]]%+n%[[/b]],战役地图视野,,,,,,False,True
[[b]]%+n%[[/b]] character experience,人物经验 [[b]]%+n%[[/b]],0,,人物经验 [[b]]%+n%[[/b]],人物经验,,,,,,False,True
[[b]]%+n%[[/b]] character salary,人物俸禄 [[b]]%+n%[[/b]],0,,人物俸禄 [[b]]%+n%[[/b]],人物俸禄,,,,,,False,True
[[b]]%+n%[[/b]] charge bonus for black mountain bandit units,黑山匪徒单位冲锋加成 [[b]]%+n%[[/b]],0,,黑山匪徒单位冲锋加成 [[b]]%+n%[[/b]],单位冲锋加成,黑山匪徒,,black mountain bandit,,,False,True
