,Short Key,Key,Text,Tooltip,File
0,,uied_component_texts_localised_string_header_label_NewState_Text_16002f,CUSTOM BATTLE (WIP),False,text/_hvo/!hv_TEXT_system.loc
1,,campaign_localised_strings_string_unit_locked_ceo,You do not have the prerequisite: %S.,False,text/_hvo/!hv_TEXT_system.loc
2,,ceo_nodes_description_3k_dlc05_ancillary_title_blood_dragon_01,Win a battle where one of your generals personally kills 300 or more soldiers,False,text/_hvo/!hv_TEXT_system.loc
3,,ceo_nodes_description_3k_dlc05_ancillary_title_blood_dragon_locked_00,Win a battle where one of your generals personally kills 300 or more soldiers,False,text/_hvo/!hv_TEXT_system.loc
4,,building_ui_groups_onscreen_name_hv_ui_building_group_nanman,Nanman Infill Development ,False,text/_hvo/hv_TEXT_building.loc
5,,building_ui_groups_onscreen_name_hv_ui_building_group_subtown_han,Infill Development ,True,text/_hvo/hv_TEXT_building.loc
6,,building_ui_groups_onscreen_name_hv_ui_building_group_subtown_confucius,Confucius Institute,True,text/_hvo/hv_TEXT_building.loc
7,,building_ui_groups_onscreen_name_hv_ui_building_group_subtown_bandit,Banditry,True,text/_hvo/hv_TEXT_building.loc
8,,building_culture_variants_name_hv_subtown_qiang_00,Scattered Qiang Community,True,text/_hvo/hv_TEXT_building.loc
9,,building_culture_variants_name_hv_subtown_qiang_01,Qiang Tribal Camp,True,text/_hvo/hv_TEXT_building.loc
10,,building_culture_variants_name_hv_subtown_qiang_02,Qiang Tribal Herd,True,text/_hvo/hv_TEXT_building.loc
11,,building_chains_chain_tooltip_hv_subtown_qiang,Qiang Tribe,True,text/_hvo/hv_TEXT_building.loc
12,,building_chains_encyclopedia_name_hv_subtown_qiang,Qiang Tribe,True,text/_hvo/hv_TEXT_building.loc
13,,building_chains_override_description_hv_subtown_qiang,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",True,text/_hvo/hv_TEXT_building.loc
14,,building_description_texts_long_description_hv_subtown_qiang_01,qiang_01_long_description,True,text/_hvo/hv_TEXT_building.loc
15,,building_description_texts_long_description_hv_subtown_qiang_02,qiang_02_long_description,True,text/_hvo/hv_TEXT_building.loc
16,,building_short_description_texts_short_description_hv_subtown_qiang_01,qiang_01_short_description,True,text/_hvo/hv_TEXT_building.loc
17,,building_short_description_texts_short_description_hv_subtown_qiang_02,qiang_02_short_description,True,text/_hvo/hv_TEXT_building.loc
18,,building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_qiang,Qiang Tribe,True,text/_hvo/hv_TEXT_building.loc
19,,building_ui_groups_onscreen_name_hv_ui_building_group_qiang,Nomad,True,text/_hvo/hv_TEXT_building.loc
20,,building_culture_variants_name_hv_subtown_wuhuan_00,Scattered Wuhuan Community,True,text/_hvo/hv_TEXT_building.loc
21,,building_culture_variants_name_hv_subtown_wuhuan_01,Wuhuan Tribal Camp,True,text/_hvo/hv_TEXT_building.loc
22,,building_culture_variants_name_hv_subtown_wuhuan_02,Wuhuan Tribal Herd,True,text/_hvo/hv_TEXT_building.loc
23,,building_chains_chain_tooltip_hv_subtown_wuhuan,Wuhuan Tribe,True,text/_hvo/hv_TEXT_building.loc
24,,building_chains_encyclopedia_name_hv_subtown_wuhuan,Wuhuan Tribe,True,text/_hvo/hv_TEXT_building.loc
25,,building_chains_override_description_hv_subtown_wuhuan,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",True,text/_hvo/hv_TEXT_building.loc
26,,building_description_texts_long_description_hv_subtown_wuhuan_01,wuhuan_01_long_description,True,text/_hvo/hv_TEXT_building.loc
27,,building_description_texts_long_description_hv_subtown_wuhuan_02,wuhuan_02_long_description,True,text/_hvo/hv_TEXT_building.loc
28,,building_short_description_texts_short_description_hv_subtown_wuhuan_01,wuhuan_01_short_description,True,text/_hvo/hv_TEXT_building.loc
29,,building_short_description_texts_short_description_hv_subtown_wuhuan_02,wuhuan_02_short_description,True,text/_hvo/hv_TEXT_building.loc
30,,building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_wuhuan,Wuhuan Tribe,True,text/_hvo/hv_TEXT_building.loc
31,,building_ui_groups_onscreen_name_hv_ui_building_group_wuhuan,Nomad,True,text/_hvo/hv_TEXT_building.loc
32,,building_culture_variants_name_hv_subtown_xiongnu_00,Scattered Xiongnu Community,True,text/_hvo/hv_TEXT_building.loc
33,,building_culture_variants_name_hv_subtown_xiongnu_01,Xiongnu Tribal Camp,True,text/_hvo/hv_TEXT_building.loc
34,,building_culture_variants_name_hv_subtown_xiongnu_02,Xiongnu Tribal Herd,True,text/_hvo/hv_TEXT_building.loc
35,,building_chains_chain_tooltip_hv_subtown_xiongnu,Xiongnu Tribe,True,text/_hvo/hv_TEXT_building.loc
36,,building_chains_encyclopedia_name_hv_subtown_xiongnu,Xiongnu Tribe,True,text/_hvo/hv_TEXT_building.loc
37,,building_chains_override_description_hv_subtown_xiongnu,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",True,text/_hvo/hv_TEXT_building.loc
38,,building_description_texts_long_description_hv_subtown_xiongnu_01,xiongnu_01_long_description,True,text/_hvo/hv_TEXT_building.loc
39,,building_description_texts_long_description_hv_subtown_xiongnu_02,xiongnu_02_long_description,True,text/_hvo/hv_TEXT_building.loc
40,,building_short_description_texts_short_description_hv_subtown_xiongnu_01,xiongnu_01_short_description,True,text/_hvo/hv_TEXT_building.loc
41,,building_short_description_texts_short_description_hv_subtown_xiongnu_02,xiongnu_02_short_description,True,text/_hvo/hv_TEXT_building.loc
42,,building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_xiongnu,Xiongnu Tribe,True,text/_hvo/hv_TEXT_building.loc
43,,building_ui_groups_onscreen_name_hv_ui_building_group_xiongnu,Nomad,True,text/_hvo/hv_TEXT_building.loc
44,,building_culture_variants_name_hv_subtown_shanyue_00,Scattered Shanyue Community,True,text/_hvo/hv_TEXT_building.loc
45,,building_culture_variants_name_hv_subtown_shanyue_01,Shanyue Tribal Herd,True,text/_hvo/hv_TEXT_building.loc
46,,building_culture_variants_name_hv_subtown_shanyue_02,Shanyue Tribal Town,True,text/_hvo/hv_TEXT_building.loc
47,,building_chains_chain_tooltip_hv_subtown_shanyue,Shanyue Tribe,True,text/_hvo/hv_TEXT_building.loc
48,,building_chains_encyclopedia_name_hv_subtown_shanyue,Shanyue Tribe,True,text/_hvo/hv_TEXT_building.loc
49,,building_chains_override_description_hv_subtown_shanyue,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",True,text/_hvo/hv_TEXT_building.loc
50,,building_description_texts_long_description_hv_subtown_shanyue_01,"Being a tribal people, the Shanyue are unused to the urban and decadent cities of the Han and prefer a life in encamped in the wilderness. Although not nomadic, the hill tribes are nevertheless a more pastoral, agricultural peoples. \\n\\n From their camps, they can both tend to their needs as a people and prepare themselves, militarily, for the ever-present and increasing threat of invasion from the North.",True,text/_hvo/hv_TEXT_building.loc
51,,building_description_texts_long_description_hv_subtown_shanyue_02,"The Southlands have long been the home of the Shanyue tribes, and it is their ardent hope that it always will be. This is the truth by which they live, and one they must fight to protect as warlords begin to encroach. \\n\\n The Shanyue know the hills of the South better than any, and amidst the striking scenery, their fortresses rise: places to live and grow, away from both the extremities of the elements and the eyes of the enemy.",True,text/_hvo/hv_TEXT_building.loc
52,,building_short_description_texts_short_description_hv_subtown_shanyue_01,"This is our land, our home, our history. You cannot have it!",True,text/_hvo/hv_TEXT_building.loc
53,,building_short_description_texts_short_description_hv_subtown_shanyue_02,"Although their palisade walls are an unfortunate necessity, the Shanyue seek only to live in peace.",True,text/_hvo/hv_TEXT_building.loc
54,,building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_shanyue,Shanyue Tribe,True,text/_hvo/hv_TEXT_building.loc
55,,building_ui_groups_onscreen_name_hv_ui_building_group_shanyue,Zong Bu,True,text/_hvo/hv_TEXT_building.loc
56,,building_culture_variants_name_hv_subtown_garrison_sun_jian_01,Local Noble's Household,True,text/_hvo/hv_TEXT_building.loc
57,,building_culture_variants_name_hv_subtown_garrison_sun_jian_02,Local Noble's Manor,True,text/_hvo/hv_TEXT_building.loc
58,,building_chains_chain_tooltip_hv_subtown_garrison_sun_jian,[[col:flavour]]Local Noble's Estate[[/col]],True,text/_hvo/hv_TEXT_building.loc
59,,building_chains_encyclopedia_name_hv_subtown_garrison_sun_jian,Local Noble's Estate,True,text/_hvo/hv_TEXT_building.loc
60,,building_chains_override_description_hv_subtown_garrison_sun_jian,The estates of powerful and wealthy families.,True,text/_hvo/hv_TEXT_building.loc
61,,building_description_texts_long_description_hv_subtown_garrison_sun_jian_01,long_description,True,text/_hvo/hv_TEXT_building.loc
62,,building_description_texts_long_description_hv_subtown_garrison_sun_jian_02,long_description,True,text/_hvo/hv_TEXT_building.loc
63,,building_description_texts_short_description_hv_subtown_garrison_sun_jian_01,short_description,True,text/_hvo/hv_TEXT_building.loc
64,,building_description_texts_short_description_hv_subtown_garrison_sun_jian_02,short_description,True,text/_hvo/hv_TEXT_building.loc
65,,building_culture_variants_name_hv_subtown_garrison_01,Vigilante Posts,True,text/_hvo/hv_TEXT_building.loc
66,,building_culture_variants_name_hv_subtown_garrison_02,Vigilante Barracks,True,text/_hvo/hv_TEXT_building.loc
67,,building_chains_chain_tooltip_hv_subtown_garrison,Vigilante ,True,text/_hvo/hv_TEXT_building.loc
68,,building_chains_encyclopedia_name_hv_subtown_garrison,Vigilante ,True,text/_hvo/hv_TEXT_building.loc
69,,building_chains_override_description_hv_subtown_garrison,Vigilantes patrol the region and harass enemy armies.,True,text/_hvo/hv_TEXT_building.loc
70,,building_description_texts_long_description_hv_subtown_garrison_01,long_description,True,text/_hvo/hv_TEXT_building.loc
71,,building_description_texts_long_description_hv_subtown_garrison_02,long_description,True,text/_hvo/hv_TEXT_building.loc
72,,building_description_texts_short_description_hv_subtown_garrison_01,short_description,True,text/_hvo/hv_TEXT_building.loc
73,,building_description_texts_short_description_hv_subtown_garrison_02,short_description,True,text/_hvo/hv_TEXT_building.loc
74,,building_description_texts_long_description_hv_subtown_garrison_ytr_01,long_description,True,text/_hvo/hv_TEXT_building.loc
75,,building_description_texts_long_description_hv_subtown_garrison_ytr_02,long_description,True,text/_hvo/hv_TEXT_building.loc
