eng,zh-tw,zh-cn
Army Reinforcement,軍隊補員,军队补员
City Expansion,擴展城市,扩展城市
Court Management,宮廷管理,宫廷管理
Disturbance,擾亂,扰乱
Earth,土,土
Fire,火,火
Garrison Reinforcement,駐軍補員,驻军补员
Gathering Volunteers,召集義勇,召集义勇
Metal,金,金
Military Support,軍事支援,军事支持
Water,水,水
Wood,木,木
additional melee hit bonus in enemy territory,敵方領土内近戰命中加成,敌方领土内近战命中加成
additional melee hit bonus in own territory,我方領土内近戰命中加成,我方领土内近战命中加成
additional melee hit bonus,近戰命中加成,近战命中加成
armour cost,護甲費用,铠甲费用
armour,護甲,铠甲
battle running speed,戰場奔跑速度,战场奔跑速度
black mountain,黑山,黑山
charge bonus,衝鋒加成,冲锋加成
charge speed,衝鋒速度,冲锋速度
damage resistance,傷害抵抗力,伤害抵抗力
health recovery,生命值回復,生命值回复
hit bonus,命中率加成,命中率加成
horse breeding per turn,每回合養馬,每回合养马
horse breeding,養馬,养马
mass for cavalry units,騎兵單位質量,骑兵单位质量
melee attack rate,近戰攻擊速率,近战攻击速率
melee evasion in enemy territory,敵方領土内近戰迴避,敌方领土内近战闪避
melee evasion in own territory,我方領土内近戰迴避,我方领土内近战闪避
melee evasion,近戰迴避,近战闪避
melee hit bonus,近戰命中率加成,近战命中率加成
missile block chance,遠程格擋機率,远程格挡概率
missile range,射程,射程
missile resistance,遠程阻擋,远程抗性
morale,士氣,士气
move speed,移動速度,移动速度
ranged block chance,遠程格擋機率,远程格挡概率
recruitment cost,招募費用,招募费用
replenishment,補員速率,补员速率
resurrection,重生,重生
speed,速度,速度
starting rank,起始等級,起始等级
stratocracy per turn,每回合軍政,每回合军政
stratocracy,軍政,军政
upkeep cost,維持費,维持费
upkeep,維持費,维持费
weapon damage,武器傷害,武器伤害
