Skill,eng,zh-cn,zh-tw,Key,File
3k_main_ability_advance,Order to Advance,军令,軍令,unit_abilities_onscreen_name_3k_main_ability_advance,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_advance,"“Do not fear, men! You are the great warriors of the Jingdong!”",军令如山，不听约束者皆斩之。,軍令如山，不聽約束者皆斬之。,unit_abilities_tooltip_text_3k_main_ability_advance,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_battle_stance,Battle Stance,厉兵,厲兵,unit_abilities_onscreen_name_3k_main_ability_battle_stance,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_battle_stance,"If you know the enemy and know yourself, you will be formidable in battle.",知己知彼，百战不殆。,知己知彼，百戰不殆。,unit_abilities_tooltip_text_3k_main_ability_battle_stance,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_call_of_courage,Call of Courage,摆宴,擺宴,unit_abilities_onscreen_name_3k_main_ability_call_of_courage,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_call_of_courage,"If you survive the battle, I'll treat you to dinner!",设下酒宴，待将军得胜归来！,設下酒宴，待將軍得勝歸來！,unit_abilities_tooltip_text_3k_main_ability_call_of_courage,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_coffin_march,Coffin March,死战,死戰,unit_abilities_onscreen_name_3k_main_ability_coffin_march,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_coffin_march,Pang De marches to battle with an empty coffin in his vanguard. It will not remain empty.,庞德要么会取得胜利，要么就是死战入土。,龐德要麼會取得勝利，要麼就是死戰入土。,unit_abilities_tooltip_text_3k_main_ability_coffin_march,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_distrust_power,Distrust of Power,藏刀,藏刀,unit_abilities_onscreen_name_3k_main_ability_distrust_power,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_distrust_power,Zhu Tu and Zhu Beng have witnessed first-hand how power steadily corrupted their former friend Zheng Jiang.,不臣之士，话里藏刀。,不臣之士，話裏藏刀。,unit_abilities_tooltip_text_3k_main_ability_distrust_power,[03]__MTU_skills__Active_buff.loc.tsv
