Text,Count,MappedByText,MappedByPattern,File
,34,,,[03]__MTU_skills___Effect.loc.tsv
 Ability: People of the Horse,1,,,[03]__MTU_skills__Passive_buff.loc.tsv
 General,1,,,[01]__MTU_generals__Wood_champion.loc.tsv
 It’s of no concern to you if they want war.,1,,,[04]__MTU_events__Common.loc.tsv
 Lady Trieu has devoted her life to the fight for freedom.,2,,为光复骆越而战，岂可浪费时间于男女情长。,[03]__MTU_skills__Passive_buff.loc.tsv
" Lü Bu is the Warrior Without Equal, but he does not dictate our diplomatic policy. You bid the host thanks and take your leave.",1,,,[04]__MTU_events__Common.loc.tsv
 Reject Lü Bu’s Proposal,1,,,[04]__MTU_events__Common.loc.tsv
 Zhang Xun leads the point of the attack and his men rally around him.,2,,号令三军攻其一处！,[03]__MTU_skills__Passive_buff.loc.tsv
%-n black mountain decay,1,黑山衰退%-n,,hv_TEXT_effects_pooled_resource.loc.tsv
%-n horse breeding decay,1,养马衰退%-n,,hv_TEXT_effects_pooled_resource.loc.tsv
%-n resurrection decay,1,复起衰退%-n,,hv_TEXT_effects_pooled_resource.loc.tsv
%-n stratocracy decay,1,军政衰退%-n,,hv_TEXT_effects_pooled_resource.loc.tsv
%n Siege Towers per item (at siege escalation),1,,,hv_TEXT_etc.loc.tsv
"...dividing up the empire, parcelling it out in fiefs to the various kings and marquises, he was hailed as the mighty conqueror...",1,,,hv_TEXT_events_rules.loc.tsv
A Golden Star,1,,,[04]__MTU_events__Common.loc.tsv
A Longing Nostalgia,1,,,[02]__MTU_items__Accessory.loc.tsv
"A New Era, A New Ruler.",1,新时代，新主公。,,hv_TEXT_events_rules.loc.tsv
A Precious Son is Born to Liu Bei,1,,,[04]__MTU_events__Born.loc.tsv
A Remarkable Writer Laments ,2,,,[04]__MTU_events___Cai_family.loc.tsv
A Rush of Tigers and Leopards,3,,虎豹狂奔,hv_TEXT_unit_abilities.loc.tsv
A Secret Plan,4,,,hv_TEXT_effects_skills.loc.tsv
A Storm of Swords,11,,舞爪,hv_TEXT_skills_skill_ability__historical.loc.tsv
A Strong Daughter is Born to Guan Yu,1,,,[04]__MTU_events__Born.loc.tsv
A Strong Daughter is Born to Zhang Fei,1,,,[04]__MTU_events__Born.loc.tsv
A Strong Son is Born to Guan Yu,1,,,[04]__MTU_events__Born.loc.tsv
A Strong Son is Born to Zhang Fei,1,,,[04]__MTU_events__Born.loc.tsv
A Xiliang colonel has joined your faction.,1,一名西凉伯长加入你的派系。,,hv_TEXT_events.loc.tsv
A beautifully embroidered dress in gold to accent Lady Feng’s overwhelming beauty.,1,,,[02]__MTU_items__Armour.loc.tsv
"A blade that is a beauty to behold. Inlaid with gold and embellished with shark skin, this blade is fit for a royal family.",1,一柄精美绝伦的宝剑，错以黄金，饰以鲛皮，与皇室之尊位相称。,,hv_TEXT_skills_basic.loc.tsv
"A blow with all of Chunyu’s strength, mighty as a thunderstrike.",2,,,[03]__MTU_skills___Splash_attack.loc.tsv
A captain and the guards commanding the army instead of the general.,1,,,hv_TEXT_unit_desc.loc.tsv
A careful decision,1,慎重决定,,hv_TEXT_events.loc.tsv
A carefully-placed strike hobbles the unlucky enemy.,4,,精心出突袭，使敌步蹒跚,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
A charge from a squadron of Spear cavalry is a daunting sight for any soldier. But to see the warriors of Yan descend upon them is a new brand of terror altogether.,1,对任何一个士兵来说，一队持矛骑兵的冲锋都会令人生畏。但如果杀来的是燕国战士，则是一种全新的恐怖。,,hv_TEXT_unit_desc.loc.tsv
"A charge of great power, draining Xiahou Yuan's focus.",1,,强大力量的冲击，会消耗夏侯渊的注意力,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
"A charge, fuelled by stern hearts and sterner blades, that will rip enemy lines apart.",2,,坚定之心，锋利宝刃，足以撕破敌阵,hv_TEXT_skills_skill_ability__historical.loc.tsv
"A charge, fuelled by stern hearts and sterner blades, will rip enemy lines apart.",4,,坚定之心，锋利宝刃，足以撕破敌阵,hv_TEXT_skills_skill_ability__historical.loc.tsv
"A childhood friend of Liu Bei, Jian Yong is carefree and informal, but also a superior orator.",1,,,[01]__MTU_generals__Metal_sentienl.loc.tsv
A clash is inevitable.,6,,冲突无法避免。,hv_TEXT_skills_skill_ability__historical.loc.tsv
A close observation of the battlefield can bring remarkable insights.,1,,以非凡的观察力纵观战场。,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
"A cowardly conspiracy! There was a failed attempt to assassinate you during the banquet. Unfortunately, the assaliant was slain by the guards before he could be made to reveal the conspirator's identity.",1,阴谋！有人于宴会中欲加害于你。事虽未成，但刺客已被护卫弑杀，无法得知是谁在背后主谋。,,ifo_text_TWEAK.loc.tsv
"A decree has arrived from the imperial court. A banquet is to be held, and influential nobles from across China are invited to the imperial palace. Wary of our influence, the imperial protector may be plotting something. However, refusing an imperial decree may have grave consequences...",1,朝廷下达了一道诏书，将在皇宫设宴邀请天下有影响力的贵族。这恐怕是辅政大臣因为担心我们的影响力设下的计谋，但违背诏书可能会有严重后果……,,ifo_text_TWEAK.loc.tsv
A devastating swing with the power of the risen inferno!,5,,凤怒炎涛，摧枯拉朽！,hv_TEXT_skills_skill_ability__historical.loc.tsv
A display of unstoppable fury.,3,,展现出势不可挡的愤怒。,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
"A few days after you and your men began searching the mountains, you come across an incredible sight. The den of a large white tiger and its family. The men are intimidated by its size and implore you to go back. You feel as if the massive tiger is staring at you.",1,在您与部下开始搜山几天后，您遇到了一个不可思议的景象：一只巨型白虎的巢穴。您的部下被老虎体型吓到，恳求您回去。您感觉好像那只巨大的老虎正在盯着你。,,hv_TEXT_events.loc.tsv
A few of your officers have gained additional experience.,1,你的一些官员获得额外经验。,,hv_TEXT_events.loc.tsv
A fierce wind blows.,1,,狂风大作。,hv_TEXT_unit_abilities.loc.tsv
A flurry of shafts slows the enemy advance.,2,,瓢泼箭雨，阻敌挠行,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
A focus on form allows one to evade and manoeuvre.,1,,专注于形则可避敌锋芒,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
A forest friendly man.,2,,此人与林为友。,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
A furious strike that sends anyone nearby reeling.,3,,充满怒意的一击，周遭敌军尽受其害,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
"A group of beggars appears before you. Among them, a girl dressed nicely comes forward and bows. The girl identifies herself as Dong Bai, the last kin of the tyrant Dong Zhuo, and begs you to take her.",2,前面来了一群乞丐，其中有一名衣冠楚楚的少女上前行礼。女孩自称董白，是暴君董卓最后的亲人。她求你带她走。,,hv_TEXT_events.loc.tsv
A group of unusual men sporting shaved heads disembark from a ship.  They claim to have journeyed from distant lands to spread the teachings of Buddha. Perhaps it will be worth supporting them?,1,从船上下来一群剃光头的异人。他们自称从遥远地方来此传播佛道。也许值得支持他们？,,hv_TEXT_events.loc.tsv
"A heavy bow made of iron is not easy to use for ordinary archers. \\n\n The range is rather short due to the strong tension and heavy arrowheads, but the arrows will penetrate the enemy. \\n\n This unit is heavily armed with ironclad, and in close combat, it cuts enemy troops with direct distribution.",1,沉重的铁弓，对普通弓箭手来说不容易使用。\\n\\n由于强大的张力和沉重的箭头，射程很短，但箭头会穿透敌人。\\n\\n这只部队装备有铁甲，在近距离战斗中，可以轻易砍杀敌军。,,hv_TEXT_unit_long_desc.loc.tsv
"A hero's resolve is not to seem the bravest, but to be it.",2,,所谓英雄，不可徒有其表，需当勇冠三军。,z_dummy_hv_TEXT_non_deployable.loc.tsv
"A letter was sent to Lady Wu of the famous Wu family in Jiangdong - no words, only a drawing of a dying tiger. Soon after, she came to visit you secretly and you brought her into your faction. Your time together reaffirms what’s said about Lady Wu - a practical approach and a devotion to her loved ones. You wonder if your family could be the benefactor of her piety. ",1,,,[04]__MTU_events___Concubine.loc.tsv
A lifetime spent learning the ways of heaven will turn thoughts into belief.,2,长解天道则称信。,长解天道则称信。,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
A look at the battlefield with remarkable insight.,4,,以非凡的观察力纵观战场。,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
"A luxurious, embroidered onyx dress fit for even an Empress.",2,,,[02]__MTU_items__Armour.loc.tsv
A magnificently embroidered dress in silver to match the young beauty’s look.,1,,,[02]__MTU_items__Armour.loc.tsv
"A man of measured approach, but also a keen opportunist that does not let go by a chance to climb higher.",1,,,[01]__MTU_generals__Water_strategist.loc.tsv
A master of the battlefield can undermine even the surest of soldiers.,2,,坚忍之士亦为所惑,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
"A merciless order, for Dong Zhuo's men and his enemies.",2,,来自相国严苛的命令。,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
A moment's respite from battlefield to heal our troops.,3,,从战场上喘息片刻，为我军疗伤。,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
"A most joyous occasion! The mistress of Guan Yu gives birth to a daughter. The child the spitting image of her father, She may become a heroine.",1,,,[04]__MTU_events__Born.loc.tsv
A most joyous occasion! The mistress of Guan Yu gives birth to a son. He will definitely be a great general!,1,,,[04]__MTU_events__Born.loc.tsv
A most joyous occasion! The mistress of Liu Bei gives birth to a son. He has pure and mischievous eyes.,1,,,[04]__MTU_events__Born.loc.tsv
"A most joyous occasion! The mistress of Zhang Fei gives birth to a daughter. The child the spitting image of her father, She may become a heroine.",1,,,[04]__MTU_events__Born.loc.tsv
A most joyous occasion! The mistress of Zhang Fei gives birth to a son. He will definitely be a great general!,1,,,[04]__MTU_events__Born.loc.tsv
A mysterious sword from the West. ,1,西域而来的神秘宝剑。,,hv_TEXT_ceo_weapon.loc.tsv
A new regime is coming into power.,1,新政权开始建立。,,hv_TEXT_effects_pooled_resource.loc.tsv
A noble guardian protects his people at all costs.,2,,百姓卫士，民为其足,[03]__MTU_skills__Active_buff.loc.tsv
A noble messenger.,1,,一名高贵的信使。,z_dummy_hv_TEXT_non_deployable.loc.tsv
A place to trade with the natives.,1,,,hv_TEXT_building.loc.tsv
A place where great teachers and passionate students gather.,1,贤师高徒汇聚之所。,,hv_TEXT_building.loc.tsv
A prince's retinue reflects their glory in splendour. These brave cavalrymen match their splendour with equal prowress in battle.,1,,,hv_TEXT_unit_desc.loc.tsv
A prominent bowyer from your hometown crafted this masterpiece.,1,,,[02]__MTU_items__Bow.loc.tsv
A quiet but enthusiastic supporter.,1,安静但热情的支持者。,,z_dummy_hv_TEXT_non_deployable.loc.tsv
"A reckless charge, inspiring but exhausting!",3,,勇莽冲锋可奋三军，却也颇费精力！,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
A regiment of the Northern Army will join your faction.,1,一个北军兵团会加入你的派系。,,hv_TEXT_events.loc.tsv
A remarkable talent.,138,,才华横溢,hv_TEXT_skills_additional.loc.tsv
A second wind has come.,1,焚风再起，野火重来,,hv_TEXT_effects_pooled_resource.loc.tsv
A self-defense sword that Jian Yong used to carry in his travels.,1,,,[02]__MTU_items__Weapons.loc.tsv
"A shabby warband requests to join your faction. After Lu Bu's defeat, his daughter Lu Ji seems to have been leading the survivors. However, granting them sanctuary may cause their enemies to come after us.",1,一只残军请求加入你的派系。吕布战败后，其女吕姬收拢溃卒。然而，接纳他们可能会惹恼吕布之敌。,,hv_TEXT_events.loc.tsv
"A shabby warband requests to join your faction. After Yuan Shu's defeat, his generals Zhang Xun, Ji Ling and Yan Xiang to have been leading the survivors. However, granting them sanctuary may cause their enemies to come after us.",1,一只残军请求加入你的派系。袁术战败后，其部将张勋，纪灵及阎象收拢溃卒。然而，接纳他们可能会惹恼袁术之敌。,,hv_TEXT_events.loc.tsv
"A shining, typical, and above all appropriate model of how one should be.",4,,此乃举世无双之楷模！,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
A shout to inspire soldiers.,1,,军令如山，凡不听约束者斩无赦。,hv_TEXT_unit_abilities.loc.tsv
"A single shot, timed and aimed to perfection, outweighs a thousand wasted volleys.",2,,精妙一击，宁缺毋滥,hv_TEXT_skills_skill_ability__historical.loc.tsv
A special arrow containing a toxic substance.,2,,含有有毒物质的特殊箭头。,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
A splendid spear with a sharpness that could cut the sky.,1,,,[02]__MTU_items__Weapons.loc.tsv
A successful hunt,1,狩猎成功,,hv_TEXT_events.loc.tsv
"A surprise invasion is launched by the Xiongnu and the city is devastated. Many are wounded or captured during the assault. One of your military advisors informs you that Cai Yong's daughter, the last of his line, Cai Yan is among those captured by the barbarians. The Xiongnu chanyu Liu Bao has placed a sizeable ransom price on her head.\\n",1,,,[04]__MTU_events___Cai_family.loc.tsv
"A surprise invasion is launched by the Xiongnu and your city is devastated. Many are wounded or captured during the assault. One of your military advisors informs you that Cai Yong's daughter, the last of his line, Cai Yan is among those captured by the barbarians. The Xiongnu chanyu Liu Bao has taken her and all the others back north with his horde.",1,,,[04]__MTU_events___Cai_family.loc.tsv
"A tiger does not father nor marry a dog. The Silver Treasure of the prideful Guan Yu is a tigress, and must be treated accordingly. ",1,,,[01]__MTU_generals__Wood_champion.loc.tsv
"A treasure came to us! Lady Du, considered one of the true beauties in all of China, has joined our court! It is known that each and every hero, warlord, and royal longed to make her theirs. You find yourself drawn to her like a moth to the flame and, after spending a great deal of time in her company and in self-contemplation, you must choose if you could see her with another.",1,,,[04]__MTU_events___Concubine.loc.tsv
A war cry from one warrior to another.,4,,同袍兄弟，狂呼迎战,hv_TEXT_skills_skill_ability__historical.loc.tsv
A warrior who feels truly alive in battle.,4,,以战为生的勇士。,hv_TEXT_skills_skill_ability__historical.loc.tsv
A warrior will only fight at their best when they are sure-footed.,1,,根基固则力稳,hv_TEXT_skills_skill_ability_name_desc.loc.tsv
A weapon befitting a warrior destined for great things.,1,,,[02]__MTU_items__Weapons.loc.tsv
A weapon of which there exists no rival.,1,,,[02]__MTU_items__Weapons.loc.tsv
A yellow turban warband has invaded your territory. You must defeat them.,1,有黄巾军侵入主公领地，须从速讨敌。,,hv_TEXT_events.loc.tsv
Ability : Commanding Presence,2,,,[03]__MTU_skills__Passive_debuff.loc.tsv
Ability : Dignity,1,,,[03]__MTU_skills__Active_debuff.loc.tsv
Ability: A Secret Plan,1,,技能：密计,hv_TEXT_effects_skills.loc.tsv
Ability: A Storm of Swords,2,,技能：舞爪,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Adamant Resolve,1,,技能：不屈,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Analyse Weakness,1,,技能：看破,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Angry Scolding,1,,技能：懿旨,[03]__MTU_skills__Active_debuff.loc.tsv
