Text,zh-tw,zh-cn
Archers,弓兵,弓手
Assault Cavalry,突擊騎兵,突击骑兵
Axe Defectors,叛逃斧兵,变节斧手
Axemen,斧兵,斧手
Bandits,盗贼,山贼
Caltrop Throwers,蒺藜兵,蒺藜手
Captain,校尉,伯长
Cataphracts,鐵甲騎兵,铁骑
Cavalry,騎兵,骑兵
Cavalry Defectors,叛逃騎兵,变节骑兵
Crossbow,弩,弩
Crossbow Defectors,叛逃弩兵,变节弩手
Crossbow Defenders,弩衛,弩卫
Crossbow Peacekeepers,衛平弩兵,泰平弩卫
Crossbowmen,弩兵,弩兵
Crossbowmen Cavalry,弩騎兵,弩骑兵
Fellows,義從,义从
Fellows Officer,義從官,义从士官
Fellows Shot,義從射擊,义从射击
Freemen,自由人,自由人
Guardsmen,衛兵,卫士
Halberd Peacekeepers,衛平戟兵,泰平戟卫
Hand-Ji Infantry,手戟兵,手戟兵
Heavy Bow Archers,重型弓兵,重弓手
Horsemen,騎兵,骑兵
Hunters,獵人,猎手
Javelineer,擲鋋兵,投枪手
Ji Cavalry,戟騎兵,戟骑兵
Ji Infantry,戟兵,戟步兵
Lancer Cataphracts,長槍鐵甲騎兵,长枪铁骑
Lancer Cavalry,槍騎,戟骑兵
Long Axe Infantry,長斧步兵,长斧步兵
Long Axemen,長斧兵,长斧手
Long Spear Defectors,叛逃長槍兵,变节长枪兵
Long Spearmen,長槍兵,长枪兵
Marauders,掠奪者,劫匪
Mounted Archers,弓騎兵,弓骑兵
Mounted Rangers,游騎兵,游骑兵
Mounted Warriors,騎馬戰士,骑乘勇士
Queen,女王,魁首
Raid Cavalry,突襲騎兵,游骑
Raider Cavalry,突襲騎兵,游骑
Raiders,劫匪,劫匪
Rangers,游擊兵,游击兵
Remnants,殘黨,余党
Repeating Crossbow Defenders,連弩衛,连弩卫
Repeating Crossbowmen,連弩兵,连弩手
Riders,騎手,掠骑兵
Royal Guard Cavalry,羽林騎,羽林骑
Sabre Cavalry,刀騎兵,刀骑兵
Sabre Infantry,持刀步兵,持刀步兵
Shield Bearers,持盾者,持盾者
Spear Defenders,槍衛,持矛卫士
Spear Gang,槍兵團,矛兵团
Spearmen,長槍兵,矛兵
Spears,槍兵,矛兵
Strays,流浪兵,流浪兵
Sword Cavalry,劍騎兵,剑骑兵
Swordsmen,劍兵,剑兵
Swordsmen of Yuan,袁氏劍兵,袁氏剑兵
Tamers,馴獸師,驯兽师
Troops,兵,兵
Veterans,老兵,宿卫
Warband,兵團,兵团
Warriors,戰士,勇士
Zhanmajian Infantry,斬馬劍兵,斩马劲卒
