File,Text,zh-cn,zh-tw
hv_TEXT_skills_skill_skill_name_desc.loc.tsv,A focus on form allows one to evade and manoeuvre.,专注于形则可避敌锋芒,專注於身形，便能夠閃躲挪騰。
hv_TEXT_skills_skill_skill_name_desc.loc.tsv,A focus on form allows one to evade and manoeuvre.,专注于形则可避敌锋芒。,專注於身形，便能夠閃躲挪騰。
hv_TEXT_skills_skill_skill_name_desc.loc.tsv,A lifetime spent learning the ways of heaven will turn thoughts into belief.,长解天道则称信,畢生學習天道，便能將想法化為信念。
hv_TEXT_skills_skill_skill_name_desc.loc.tsv,A lifetime spent learning the ways of heaven will turn thoughts into belief.,长解天道则称信。,畢生學習天道，便能將想法化為信念。
hv_TEXT_skills_skill_ability_name_desc.loc.tsv,A warrior will only fight at their best when they are sure-footed.,根基固则力稳,對自己有信心，戰士才能完全發揮實力。
hv_TEXT_skills_skill_ability_name_desc.loc.tsv,A warrior will only fight at their best when they are sure-footed.,根基固则力稳,腳跟站穩，戰士才能完全發揮實力。
hv_TEXT_events.loc.tsv,Accept,接受,允諾
hv_TEXT_events.loc.tsv,Accept,接受,接受
[01]__MTU_generals__Water_strategist.loc.tsv,Advisor,侍御史,謀士
[01]__MTU_generals__Water_strategist.loc.tsv,Advisor,军师,謀士
[01]__MTU_generals__Water_strategist.loc.tsv,Advisor,军师祭酒,謀士
[01]__MTU_generals__Water_strategist.loc.tsv,Advisor,奇谋百出,謀士
[01]__MTU_generals__Water_strategist.loc.tsv,Advisor,州牧,謀士
[01]__MTU_generals__Water_strategist.loc.tsv,Advisor,心腹,謀士
[01]__MTU_generals__Water_strategist.loc.tsv,Advisor,谋士,謀士
hv_TEXT_skills_skill_skill_name_desc.loc.tsv,Analyse Weakness,看破,分析弱點
hv_TEXT_skills_skill_skill_name_desc.loc.tsv,Analyse Weakness,看穿,分析弱點
[01]__MTU_generals__Water_strategist.loc.tsv,Bandit,熟手劫匪,盜賊
[01]__MTU_generals__Water_strategist.loc.tsv,Bandit,贼徒,盜賊
hv_TEXT_building.loc.tsv,Banditry,匪患,劫盜
hv_TEXT_building.loc.tsv,Banditry,匪患,匪患
hv_TEXT_building.loc.tsv,Banditry,,
z_dummy_hv_TEXT_non_deployable.loc.tsv,Be cunning and full of tricks and your people shall never be destroyed.,多谋善计方可立于不败,兵不厭詐，謀如湧泉，則手下士兵無堅不摧。
z_dummy_hv_TEXT_non_deployable.loc.tsv,Be cunning and full of tricks and your people shall never be destroyed.,多谋善计方可立于不败之地。,兵不厭詐，謀如湧泉，則手下士兵無堅不摧。
hv_TEXT_pooled_resource.loc.tsv,Buildings,建筑,建築
hv_TEXT_pooled_resource.loc.tsv,Buildings,当地建筑,建築
hv_TEXT_unit_abilities.loc.tsv,Caltrops,蒺藜,蒺藜
hv_TEXT_unit_abilities.loc.tsv,Caltrops,铁蒺藜,蒺藜
hv_TEXT_cb_loadout.loc.tsv,Cao Cao,曹操,曹操
hv_TEXT_cb_loadout.loc.tsv,Cao Cao,诸雄筹谋,曹操
hv_TEXT_cb_loadout.loc.tsv,Cao Cao,,
hv_TEXT_unit_text_replacements.loc.tsv,Captain,伯长,校尉
hv_TEXT_unit_text_replacements.loc.tsv,Captain,伯长,船長
[01]__MTU_generals__Fire_vanguard.loc.tsv,Colonel,校尉,校尉
[01]__MTU_generals__Fire_vanguard.loc.tsv,Colonel,都尉,都尉
[01]__MTU_generals__Fire_vanguard.loc.tsv,Commandant,中郎将,都尉
[01]__MTU_generals__Fire_vanguard.loc.tsv,Commandant,偏将军,都尉
[01]__MTU_generals__Fire_vanguard.loc.tsv,Commandant,军司马,別部司馬
[01]__MTU_generals__Fire_vanguard.loc.tsv,Commandant,别部司马,別部司馬
[01]__MTU_generals__Fire_vanguard.loc.tsv,Commandant,别部司马,都尉
[01]__MTU_generals__Fire_vanguard.loc.tsv,Commandant,宁国中郎将,別部司馬
[01]__MTU_generals__Fire_vanguard.loc.tsv,Commandant,建威中郎将,都尉
[01]__MTU_generals__Fire_vanguard.loc.tsv,Commandant,折冲校尉,都尉
[01]__MTU_generals__Fire_vanguard.loc.tsv,Commandant,牙门将军,都尉
[01]__MTU_generals__Fire_vanguard.loc.tsv,Commandant,荡寇将军,都尉
[01]__MTU_generals__Fire_vanguard.loc.tsv,Commandant,袁氏爱子,別部司馬
[01]__MTU_generals__Fire_vanguard.loc.tsv,Commandant,裨将军,都尉
[01]__MTU_generals__Fire_vanguard.loc.tsv,Commandant,讨寇校尉,都尉
[01]__MTU_generals__Fire_vanguard.loc.tsv,Commandant,都督,別部司馬
[01]__MTU_generals__Fire_vanguard.loc.tsv,Commandant,都督,都尉
z_dummy_hv_TEXT_non_deployable.loc.tsv,"Concentrate on the moment: fight, don't think. Use your instincts.",专注当下：切勿迟疑，但斩前敌。,專注於當下：只管戰鬥，無須思考。活用直覺。
z_dummy_hv_TEXT_non_deployable.loc.tsv,"Concentrate on the moment: fight, don't think. Use your instincts.",专注眼前：切勿迟疑，但斩眼前敌,專注於當下：只管戰鬥，無須思考。活用直覺。
z_dummy_hv_TEXT_non_deployable.loc.tsv,Cunning,变化机谋,足智多謀
z_dummy_hv_TEXT_non_deployable.loc.tsv,Cunning,奇谋百出,足智多謀
z_dummy_hv_TEXT_non_deployable.loc.tsv,Cunning,智略,智謀
hv_TEXT_pooled_resource.loc.tsv,Decrease,减少,降低
hv_TEXT_pooled_resource.loc.tsv,Decrease,降低,降低
hv_TEXT_pooled_resource.loc.tsv,Decrease,,
[03]__MTU_skills__Active_debuff.loc.tsv,Dignity,自尊,氣度不凡
[03]__MTU_skills__Active_debuff.loc.tsv,Dignity,自重,氣度不凡
hv_TEXT_cb_loadout.loc.tsv,Dong Zhuo,董卓,董卓
hv_TEXT_cb_loadout.loc.tsv,Dong Zhuo,,
[01]__MTU_generals__Wood_champion.loc.tsv,Elite General,五子良将,五子良將
[01]__MTU_generals__Wood_champion.loc.tsv,Elite General,大将军,車騎將軍
[01]__MTU_generals__Wood_champion.loc.tsv,Elite General,江表虎臣,虎臣
[01]__MTU_generals__Wood_champion.loc.tsv,Elite General,河间四将,五子良將
[01]__MTU_generals__Wood_champion.loc.tsv,Elite General,河间四将,河間四將
[01]__MTU_generals__Wood_champion.loc.tsv,Elite General,车骑将军,車騎將軍
[dummy]__MTU_dummy.loc.tsv,Empress,女帝,女帝
[dummy]__MTU_dummy.loc.tsv,Empress,女帝,皇帝
[dummy]__MTU_dummy.loc.tsv,Empress,皇后,皇后
[dummy]__MTU_dummy.loc.tsv,Empress,皇后,皇帝
hv_TEXT_unit_abilities.loc.tsv,Enlightenment,启蒙,修為
hv_TEXT_unit_abilities.loc.tsv,Enlightenment,开化,得道
z_dummy_hv_TEXT_non_deployable.loc.tsv,Expertise,专精,專精
z_dummy_hv_TEXT_non_deployable.loc.tsv,Expertise,经验,專精
[01]__MTU_generals__Metal_sentienl.loc.tsv,Follower,随从,信徒
[01]__MTU_generals__Metal_sentienl.loc.tsv,Follower,随从,隨從
[01]__MTU_generals__Earth_commander.loc.tsv,General,东中郎将,將領
[01]__MTU_generals__Earth_commander.loc.tsv,General,中军校尉,將領
[01]__MTU_generals__Earth_commander.loc.tsv,General,中护军,將領
[01]__MTU_generals__Earth_commander.loc.tsv,General,中郎将,將軍
