Key,Text,Tooltip,Short key,All,Override by key,Mapped by text,Old,Vanilla,Exact,Eng-short,File
uied_component_texts_localised_string_header_label_NewState_Text_16002f,CUSTOM BATTLE (WIP),FALSE,uied_component_texts_localised_string_header_label_NewState_Text,自定义战斗（WIP）,,自定义战斗（WIP）,,,,,!hv_TEXT_system.loc
campaign_localised_strings_string_unit_locked_ceo,You do not have the prerequisite: %S.,FALSE,campaign_localised_strings_string_unit_locked,您没有所需的：%S。,,您没有所需的：%S。,,,,,!hv_TEXT_system.loc
ceo_nodes_description_3k_dlc05_ancillary_title_blood_dragon_01,Win a battle where one of your generals personally kills 300 or more soldiers,FALSE,ceo_nodes_description_3k_dlc05_ancillary_title_blood_dragon,赢得一场您的一名将领亲自杀敌三百人的战斗,,赢得一场您的一名将领亲自杀敌三百人的战斗,,,,,!hv_TEXT_system.loc
ceo_nodes_description_3k_dlc05_ancillary_title_blood_dragon_locked_00,Win a battle where one of your generals personally kills 300 or more soldiers,FALSE,ceo_nodes_description_3k_dlc05_ancillary_title_blood_dragon_locked,赢得一场您的一名将领亲自杀敌三百人的战斗,,赢得一场您的一名将领亲自杀敌三百人的战斗,,,,,!hv_TEXT_system.loc
building_ui_groups_onscreen_name_hv_ui_building_group_nanman,Nanman Infill Development ,FALSE,building_ui_groups_onscreen_name_hv_ui_building_group,南蛮填地开发,,南蛮填地开发,,,,,hv_TEXT_building.loc
building_ui_groups_onscreen_name_hv_ui_building_group_subtown_han,Infill Development ,TRUE,building_ui_groups_onscreen_name_hv_ui_building_group_subtown,填地开发,,填地开发,附加发展,,附加发展,,hv_TEXT_building.loc
building_ui_groups_onscreen_name_hv_ui_building_group_subtown_confucius,Confucius Institute,TRUE,building_ui_groups_onscreen_name_hv_ui_building_group_subtown,孔子学院,,孔子学院,,,,,hv_TEXT_building.loc
building_ui_groups_onscreen_name_hv_ui_building_group_subtown_bandit,Banditry,TRUE,building_ui_groups_onscreen_name_hv_ui_building_group_subtown,匪患,,,匪患,匪患,,,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_qiang_00,Scattered Qiang Community,TRUE,building_culture_variants_name_hv_subtown_qiang,羌人散户,,,羌人散户,,羌人散户,,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_qiang_01,Qiang Tribal Camp,TRUE,building_culture_variants_name_hv_subtown_qiang,羌人聚落,,,羌人聚落,,羌人聚落,,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_qiang_02,Qiang Tribal Herd,TRUE,building_culture_variants_name_hv_subtown_qiang,羌人村庄,,,羌人村庄,,羌人村庄,,hv_TEXT_building.loc
building_chains_chain_tooltip_hv_subtown_qiang,Qiang Tribe,TRUE,building_chains_chain_tooltip_hv_subtown,羌人部落,,,羌人部落,,羌人部落,,hv_TEXT_building.loc
building_chains_encyclopedia_name_hv_subtown_qiang,Qiang Tribe,TRUE,building_chains_encyclopedia_name_hv_subtown,羌人部落,,,羌人部落,,羌人部落,,hv_TEXT_building.loc
building_chains_override_description_hv_subtown_qiang,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",TRUE,building_chains_override_description_hv_subtown,这些部落不愿归化，但愿意提供军事援助。,,,这些部落不愿归化，但愿意提供军事援助。,,这些部落不愿归化，但愿意提供军事援助。,,hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_qiang_01,qiang_01_long_description,TRUE,building_description_texts_long_description_hv_subtown_qiang,长描述,,,长描述,,长描述,,hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_qiang_02,qiang_02_long_description,TRUE,building_description_texts_long_description_hv_subtown_qiang,长描述,,,长描述,,长描述,,hv_TEXT_building.loc
building_short_description_texts_short_description_hv_subtown_qiang_01,qiang_01_short_description,TRUE,building_short_description_texts_short_description_hv_subtown_qiang,短描述,,,短描述,,短描述,,hv_TEXT_building.loc
building_short_description_texts_short_description_hv_subtown_qiang_02,qiang_02_short_description,TRUE,building_short_description_texts_short_description_hv_subtown_qiang,短描述,,,短描述,,短描述,,hv_TEXT_building.loc
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_qiang,Qiang Tribe,TRUE,building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display,羌人部落,,,羌人部落,,羌人部落,,hv_TEXT_building.loc
building_ui_groups_onscreen_name_hv_ui_building_group_qiang,Nomad,TRUE,building_ui_groups_onscreen_name_hv_ui_building_group,游牧民族,,,游牧民族,,游牧民族,,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_wuhuan_00,Scattered Wuhuan Community,TRUE,building_culture_variants_name_hv_subtown_wuhuan,乌桓散户,,,乌桓散户,,乌桓散户,,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_wuhuan_01,Wuhuan Tribal Camp,TRUE,building_culture_variants_name_hv_subtown_wuhuan,乌桓聚落,,,乌桓聚落,,乌桓聚落,,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_wuhuan_02,Wuhuan Tribal Herd,TRUE,building_culture_variants_name_hv_subtown_wuhuan,乌桓村庄,,,乌桓村庄,,乌桓村庄,,hv_TEXT_building.loc
building_chains_chain_tooltip_hv_subtown_wuhuan,Wuhuan Tribe,TRUE,building_chains_chain_tooltip_hv_subtown,乌桓部落,,,乌桓部落,,乌桓部落,,hv_TEXT_building.loc
building_chains_encyclopedia_name_hv_subtown_wuhuan,Wuhuan Tribe,TRUE,building_chains_encyclopedia_name_hv_subtown,乌桓部落,,,乌桓部落,,乌桓部落,,hv_TEXT_building.loc
building_chains_override_description_hv_subtown_wuhuan,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",TRUE,building_chains_override_description_hv_subtown,这些部落不愿归化，但愿意提供军事援助。,,,这些部落不愿归化，但愿意提供军事援助。,,这些部落不愿归化，但愿意提供军事援助。,,hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_wuhuan_01,wuhuan_01_long_description,TRUE,building_description_texts_long_description_hv_subtown_wuhuan,长描述,,,长描述,,长描述,,hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_wuhuan_02,wuhuan_02_long_description,TRUE,building_description_texts_long_description_hv_subtown_wuhuan,长描述,,,长描述,,长描述,,hv_TEXT_building.loc
building_short_description_texts_short_description_hv_subtown_wuhuan_01,wuhuan_01_short_description,TRUE,building_short_description_texts_short_description_hv_subtown_wuhuan,短描述,,,短描述,,短描述,,hv_TEXT_building.loc
building_short_description_texts_short_description_hv_subtown_wuhuan_02,wuhuan_02_short_description,TRUE,building_short_description_texts_short_description_hv_subtown_wuhuan,短描述,,,短描述,,短描述,,hv_TEXT_building.loc
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_wuhuan,Wuhuan Tribe,TRUE,building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display,乌桓部落,,,乌桓部落,,乌桓部落,,hv_TEXT_building.loc
building_ui_groups_onscreen_name_hv_ui_building_group_wuhuan,Nomad,TRUE,building_ui_groups_onscreen_name_hv_ui_building_group,游牧民族,,,游牧民族,,游牧民族,,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_xiongnu_00,Scattered Xiongnu Community,TRUE,building_culture_variants_name_hv_subtown_xiongnu,匈奴散户,,,匈奴散户,,匈奴散户,,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_xiongnu_01,Xiongnu Tribal Camp,TRUE,building_culture_variants_name_hv_subtown_xiongnu,匈奴聚落,,,匈奴聚落,,匈奴聚落,,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_xiongnu_02,Xiongnu Tribal Herd,TRUE,building_culture_variants_name_hv_subtown_xiongnu,匈奴村庄,,,匈奴村庄,,匈奴村庄,,hv_TEXT_building.loc
building_chains_chain_tooltip_hv_subtown_xiongnu,Xiongnu Tribe,TRUE,building_chains_chain_tooltip_hv_subtown,匈奴部落,,,匈奴部落,,匈奴部落,,hv_TEXT_building.loc
building_chains_encyclopedia_name_hv_subtown_xiongnu,Xiongnu Tribe,TRUE,building_chains_encyclopedia_name_hv_subtown,匈奴部落,,,匈奴部落,,匈奴部落,,hv_TEXT_building.loc
building_chains_override_description_hv_subtown_xiongnu,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",TRUE,building_chains_override_description_hv_subtown,这些部落不愿归化，但愿意提供军事援助。,,,这些部落不愿归化，但愿意提供军事援助。,,这些部落不愿归化，但愿意提供军事援助。,,hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_xiongnu_01,xiongnu_01_long_description,TRUE,building_description_texts_long_description_hv_subtown_xiongnu,长描述,,,长描述,,长描述,,hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_xiongnu_02,xiongnu_02_long_description,TRUE,building_description_texts_long_description_hv_subtown_xiongnu,长描述,,,长描述,,长描述,,hv_TEXT_building.loc
building_short_description_texts_short_description_hv_subtown_xiongnu_01,xiongnu_01_short_description,TRUE,building_short_description_texts_short_description_hv_subtown_xiongnu,短描述,,,短描述,,短描述,,hv_TEXT_building.loc
building_short_description_texts_short_description_hv_subtown_xiongnu_02,xiongnu_02_short_description,TRUE,building_short_description_texts_short_description_hv_subtown_xiongnu,短描述,,,短描述,,短描述,,hv_TEXT_building.loc
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_xiongnu,Xiongnu Tribe,TRUE,building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display,匈奴部落,,,匈奴部落,,匈奴部落,,hv_TEXT_building.loc
building_ui_groups_onscreen_name_hv_ui_building_group_xiongnu,Nomad,TRUE,building_ui_groups_onscreen_name_hv_ui_building_group,游牧民族,,,游牧民族,,游牧民族,,hv_TEXT_building.loc
