Key,eng,zhtw,zhcn
dilemmas_localised_description_hv_dilemma_northern_army_intro,None of the other warlords in China are as noble or accomplished as you are. Bring order to chaos and officers who were once loyal to the Han Dynasty will flock to your banner. Defeat your rivals and accumulate wealth to expand your power.,天下大亂，雄豪並起。主公若能運籌演謀，鞭撻宇內，忠於漢室之能人必來投效。以公之神武明哲而輔以大順，何向而不濟！,天下大乱，雄豪并起。主公若能运筹演谋，鞭挞宇内，忠于汉室之能人必来投效。以公之神武明哲而辅以大顺，何向而不济！
dilemmas_localised_description_hv_dilemma_white_tiger_01,"There's a rumor about a nearby village. Each night, a huge monster terrorises the peasants. The villagers seek a hero to comb the mountains and drive out the beast.",附近村莊有傳聞說，每晚會有巨獸出沒恐嚇農民。村民們在找尋一位英雄來進山驅走怪獸。,附近村庄有传闻说，每晚会有巨兽出没恐吓农民。村民们在找寻一位英雄来进山驱走怪兽。
dilemmas_localised_description_hv_dilemma_white_tiger_02,"A few days after you and your men began searching the mountains, you come across an incredible sight. The den of a large white tiger and its family. The men are intimidated by its size and implore you to go back. You feel as if the massive tiger is staring at you.",在您與部下開始搜山幾天後，您遇到了一個不可思議的景象：一隻巨型白虎的巢穴。您的部下被老虎體型嚇到，懇求您回去。您感覺好像那隻巨大的老虎正在盯著你。,在您与部下开始搜山几天后，您遇到了一个不可思议的景象：一只巨型白虎的巢穴。您的部下被老虎体型吓到，恳求您回去。您感觉好像那只巨大的老虎正在盯着你。
incidents_localised_description_hv_event_white_tiger_1,"After an epic struggle, you slay the enormous white tiger. Then, unexpectedly, the other tigers prostrate themselves as if submitting to your might! These white tigers don't seem to be ordinary beasts.",酣戰之後，您殺死了巨型白虎。然而出乎意料的是，其它老虎俯伏在您身前，好像屈服於您的力量！這些白虎似乎不是普通的野獸。 ,酣战之后，您杀死了巨型白虎。然而出乎意料的是，其它老虎俯伏在您身前，好像屈服于您的力量！这些白虎似乎不是普通的野兽。
incidents_localised_description_hv_incident_cai_yan,"Your messengers report a remarkable story. A trader spotted a Han woman living amongst the Xiongnu and identified her as Cai Yan, the daughter of the grand scholar Cai Yong. It seems she was forced to marry a chieftain of the Xiongnu. Perhaps someone could convince this chieftain to free Cai Yan. One of your scouts has already left to investigate...",信使來報，有商販在匈奴營中發現一位中土女眷，正是名士蔡邕之女蔡琰，已沦为匈奴左賢王女奴。匈奴王或許願意放了蔡琰，你的一個探子已經前去調查……,信使来报，有商贩在匈奴营中发现一位中土女眷，正是名士蔡邕之女蔡琰，已沦为匈奴左贤王女奴。匈奴王或许愿意放了蔡琰，你的一个探子已经前去调查……
ui_text_replacements_localised_text_hv_unit_defenders_of_earth_might,Defenders of Earth,坤地衛,后土卫军
ui_text_replacements_localised_text_hv_unit_protectors_of_heaven_might,Protectors of Heaven,乾天衛,皇天护军
unit_description_historical_texts_text_hv_unit_elite_swordsmen,"The jian is a straight, double-edged sword known as the 'Gentleman of Weapons', and considered to be one of the four major weapons alongside the gun, dao and qiang. It takes a year of training before one is considered competent enough to use it, and so only the most skilled swordsmen are equipped with it. \\n\\n The role of the Elite Swordsmen is to hold the line against enemy attacks, and their swordsmanship, heavy armour and gourd shields enable them to do this long after others have fallen to exhaustion.",劍兩側開鋒，刃身筆直，又名「百兵之君」，和棍、刀、槍並列為四大兵器。劍需要一年時間訓練才能在實戰中應用，因此只有武藝最精湛的劍士才會使用。 \\n\\n 精锐剑士的功用是堅守陣線，即便其他人都力竭倒下了，他們仍能憑藉著劍技、皮甲和圓盾繼續奮戰。,剑是一种直的双刃武器，人称「百兵之君」，与棍、刀、枪合称四大主兵。要成为有足够能力配备剑的人，至少要经过一年的训练，只有最熟练的剑士才能佩剑上阵。\\n\\n精锐剑兵要防御敌人的攻击，他们剑术精湛，披甲持盾，在其他人精疲力竭后仍能坚守阵线。
dilemmas_localised_description_3k_dlc07_child_emperor_dilemma_imperial_ancestral_rites,"The imperial ancestral rite, a significant event in China, will be held soon. An imperial decree demands that you send civil officials to assist in administrative affairs or military officers for the imperial guard detail. If you fulfill your duties as a faithful servant, the imperial court will grant you grace. If you refuse, you may incurr the emperor's disfavour...",即將舉行的皇家祭祀儀式是朝中的一項重大活動。詔書要求您派文官去協助行政事務，或派武官去協助禁衛。如果您盡忠職守，朝廷會給予賞賜。拒不執行，則可能招致天子的不滿。 ,即将举行的皇家祭祀仪式是朝中的一项重大活动。诏书要求您派文官去协助行政事务，或派武官去协助禁卫。如果您尽忠职守，朝廷会给予赏赐。拒不执行，则可能招致天子的不满。
dilemmas_localised_description_3k_dlc07_child_emperor_dilemma_imperial_banquet,"A decree has arrived from the imperial court. A banquet is to be held, and influential nobles from across China are invited to the imperial palace. Wary of our influence, the imperial protector may be plotting something. However, refusing an imperial decree may have grave consequences...",朝廷下達了一道詔書，將在皇宮設宴邀請天下有影響力的貴族。这恐怕是輔政大臣因爲擔心我們的影響力設下的计谋，但违背诏书可能會有嚴重後果……,朝廷下达了一道诏书，将在皇宫设宴邀请天下有影响力的贵族。这恐怕是辅政大臣因为担心我们的影响力设下的计谋，但违背诏书可能会有严重后果…… 
