Short Key,Key,Text,Tooltip,File
,uied_component_texts_localised_string_header_label_NewState_Text_16002f,CUSTOM BATTLE (WIP),FALSE,text/_hvo/!hv_TEXT_system.loc
,campaign_localised_strings_string_unit_locked_ceo,You do not have the prerequisite: %S.,FALSE,text/_hvo/!hv_TEXT_system.loc
,ceo_nodes_description_3k_dlc05_ancillary_title_blood_dragon_01,Win a battle where one of your generals personally kills 300 or more soldiers,FALSE,text/_hvo/!hv_TEXT_system.loc
,ceo_nodes_description_3k_dlc05_ancillary_title_blood_dragon_locked_00,Win a battle where one of your generals personally kills 300 or more soldiers,FALSE,text/_hvo/!hv_TEXT_system.loc
,building_ui_groups_onscreen_name_hv_ui_building_group_nanman,Nanman Infill Development ,FALSE,text/_hvo/hv_TEXT_building.loc
,building_ui_groups_onscreen_name_hv_ui_building_group_subtown_han,Infill Development ,TRUE,text/_hvo/hv_TEXT_building.loc
,building_ui_groups_onscreen_name_hv_ui_building_group_subtown_confucius,Confucius Institute,TRUE,text/_hvo/hv_TEXT_building.loc
,building_ui_groups_onscreen_name_hv_ui_building_group_subtown_bandit,Banditry,TRUE,text/_hvo/hv_TEXT_building.loc
,building_culture_variants_name_hv_subtown_qiang_00,Scattered Qiang Community,TRUE,text/_hvo/hv_TEXT_building.loc
,building_culture_variants_name_hv_subtown_qiang_01,Qiang Tribal Camp,TRUE,text/_hvo/hv_TEXT_building.loc
,building_culture_variants_name_hv_subtown_qiang_02,Qiang Tribal Herd,TRUE,text/_hvo/hv_TEXT_building.loc
,building_chains_chain_tooltip_hv_subtown_qiang,Qiang Tribe,TRUE,text/_hvo/hv_TEXT_building.loc
,building_chains_encyclopedia_name_hv_subtown_qiang,Qiang Tribe,TRUE,text/_hvo/hv_TEXT_building.loc
,building_chains_override_description_hv_subtown_qiang,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",TRUE,text/_hvo/hv_TEXT_building.loc
,building_description_texts_long_description_hv_subtown_qiang_01,qiang_01_long_description,TRUE,text/_hvo/hv_TEXT_building.loc
,building_description_texts_long_description_hv_subtown_qiang_02,qiang_02_long_description,TRUE,text/_hvo/hv_TEXT_building.loc
,building_short_description_texts_short_description_hv_subtown_qiang_01,qiang_01_short_description,TRUE,text/_hvo/hv_TEXT_building.loc
,building_short_description_texts_short_description_hv_subtown_qiang_02,qiang_02_short_description,TRUE,text/_hvo/hv_TEXT_building.loc
,building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_qiang,Qiang Tribe,TRUE,text/_hvo/hv_TEXT_building.loc
,building_ui_groups_onscreen_name_hv_ui_building_group_qiang,Nomad,TRUE,text/_hvo/hv_TEXT_building.loc
,building_culture_variants_name_hv_subtown_wuhuan_00,Scattered Wuhuan Community,TRUE,text/_hvo/hv_TEXT_building.loc
,building_culture_variants_name_hv_subtown_wuhuan_01,Wuhuan Tribal Camp,TRUE,text/_hvo/hv_TEXT_building.loc
,building_culture_variants_name_hv_subtown_wuhuan_02,Wuhuan Tribal Herd,TRUE,text/_hvo/hv_TEXT_building.loc
,building_chains_chain_tooltip_hv_subtown_wuhuan,Wuhuan Tribe,TRUE,text/_hvo/hv_TEXT_building.loc
,building_chains_encyclopedia_name_hv_subtown_wuhuan,Wuhuan Tribe,TRUE,text/_hvo/hv_TEXT_building.loc
,building_chains_override_description_hv_subtown_wuhuan,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",TRUE,text/_hvo/hv_TEXT_building.loc
,building_description_texts_long_description_hv_subtown_wuhuan_01,wuhuan_01_long_description,TRUE,text/_hvo/hv_TEXT_building.loc
,building_description_texts_long_description_hv_subtown_wuhuan_02,wuhuan_02_long_description,TRUE,text/_hvo/hv_TEXT_building.loc
,building_short_description_texts_short_description_hv_subtown_wuhuan_01,wuhuan_01_short_description,TRUE,text/_hvo/hv_TEXT_building.loc
,building_short_description_texts_short_description_hv_subtown_wuhuan_02,wuhuan_02_short_description,TRUE,text/_hvo/hv_TEXT_building.loc
,building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_wuhuan,Wuhuan Tribe,TRUE,text/_hvo/hv_TEXT_building.loc
,building_ui_groups_onscreen_name_hv_ui_building_group_wuhuan,Nomad,TRUE,text/_hvo/hv_TEXT_building.loc
,building_culture_variants_name_hv_subtown_xiongnu_00,Scattered Xiongnu Community,TRUE,text/_hvo/hv_TEXT_building.loc
,building_culture_variants_name_hv_subtown_xiongnu_01,Xiongnu Tribal Camp,TRUE,text/_hvo/hv_TEXT_building.loc
,building_culture_variants_name_hv_subtown_xiongnu_02,Xiongnu Tribal Herd,TRUE,text/_hvo/hv_TEXT_building.loc
,building_chains_chain_tooltip_hv_subtown_xiongnu,Xiongnu Tribe,TRUE,text/_hvo/hv_TEXT_building.loc
,building_chains_encyclopedia_name_hv_subtown_xiongnu,Xiongnu Tribe,TRUE,text/_hvo/hv_TEXT_building.loc
,building_chains_override_description_hv_subtown_xiongnu,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",TRUE,text/_hvo/hv_TEXT_building.loc
,building_description_texts_long_description_hv_subtown_xiongnu_01,xiongnu_01_long_description,TRUE,text/_hvo/hv_TEXT_building.loc
,building_description_texts_long_description_hv_subtown_xiongnu_02,xiongnu_02_long_description,TRUE,text/_hvo/hv_TEXT_building.loc
,building_short_description_texts_short_description_hv_subtown_xiongnu_01,xiongnu_01_short_description,TRUE,text/_hvo/hv_TEXT_building.loc
,building_short_description_texts_short_description_hv_subtown_xiongnu_02,xiongnu_02_short_description,TRUE,text/_hvo/hv_TEXT_building.loc
,building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_xiongnu,Xiongnu Tribe,TRUE,text/_hvo/hv_TEXT_building.loc
,building_ui_groups_onscreen_name_hv_ui_building_group_xiongnu,Nomad,TRUE,text/_hvo/hv_TEXT_building.loc
,building_culture_variants_name_hv_subtown_shanyue_00,Scattered Shanyue Community,TRUE,text/_hvo/hv_TEXT_building.loc
,building_culture_variants_name_hv_subtown_shanyue_01,Shanyue Tribal Herd,TRUE,text/_hvo/hv_TEXT_building.loc
,building_culture_variants_name_hv_subtown_shanyue_02,Shanyue Tribal Town,TRUE,text/_hvo/hv_TEXT_building.loc
,building_chains_chain_tooltip_hv_subtown_shanyue,Shanyue Tribe,TRUE,text/_hvo/hv_TEXT_building.loc
,building_chains_encyclopedia_name_hv_subtown_shanyue,Shanyue Tribe,TRUE,text/_hvo/hv_TEXT_building.loc
,building_chains_override_description_hv_subtown_shanyue,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",TRUE,text/_hvo/hv_TEXT_building.loc
,building_description_texts_long_description_hv_subtown_shanyue_01,"Being a tribal people, the Shanyue are unused to the urban and decadent cities of the Han and prefer a life in encamped in the wilderness. Although not nomadic, the hill tribes are nevertheless a more pastoral, agricultural peoples. \\n\\n From their camps, they can both tend to their needs as a people and prepare themselves, militarily, for the ever-present and increasing threat of invasion from the North.",TRUE,text/_hvo/hv_TEXT_building.loc
,building_description_texts_long_description_hv_subtown_shanyue_02,"The Southlands have long been the home of the Shanyue tribes, and it is their ardent hope that it always will be. This is the truth by which they live, and one they must fight to protect as warlords begin to encroach. \\n\\n The Shanyue know the hills of the South better than any, and amidst the striking scenery, their fortresses rise: places to live and grow, away from both the extremities of the elements and the eyes of the enemy.",TRUE,text/_hvo/hv_TEXT_building.loc
,building_short_description_texts_short_description_hv_subtown_shanyue_01,"This is our land, our home, our history. You cannot have it!",TRUE,text/_hvo/hv_TEXT_building.loc
,building_short_description_texts_short_description_hv_subtown_shanyue_02,"Although their palisade walls are an unfortunate necessity, the Shanyue seek only to live in peace.",TRUE,text/_hvo/hv_TEXT_building.loc
,building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_shanyue,Shanyue Tribe,TRUE,text/_hvo/hv_TEXT_building.loc
,building_ui_groups_onscreen_name_hv_ui_building_group_shanyue,Zong Bu,TRUE,text/_hvo/hv_TEXT_building.loc
,building_culture_variants_name_hv_subtown_garrison_sun_jian_01,Local Noble's Household,TRUE,text/_hvo/hv_TEXT_building.loc
,building_culture_variants_name_hv_subtown_garrison_sun_jian_02,Local Noble's Manor,TRUE,text/_hvo/hv_TEXT_building.loc
,building_chains_chain_tooltip_hv_subtown_garrison_sun_jian,[[col:flavour]]Local Noble's Estate[[/col]],TRUE,text/_hvo/hv_TEXT_building.loc
,building_chains_encyclopedia_name_hv_subtown_garrison_sun_jian,Local Noble's Estate,TRUE,text/_hvo/hv_TEXT_building.loc
,building_chains_override_description_hv_subtown_garrison_sun_jian,The estates of powerful and wealthy families.,TRUE,text/_hvo/hv_TEXT_building.loc
,building_description_texts_long_description_hv_subtown_garrison_sun_jian_01,long_description,TRUE,text/_hvo/hv_TEXT_building.loc
,building_description_texts_long_description_hv_subtown_garrison_sun_jian_02,long_description,TRUE,text/_hvo/hv_TEXT_building.loc
,building_description_texts_short_description_hv_subtown_garrison_sun_jian_01,short_description,TRUE,text/_hvo/hv_TEXT_building.loc
,building_description_texts_short_description_hv_subtown_garrison_sun_jian_02,short_description,TRUE,text/_hvo/hv_TEXT_building.loc
,building_culture_variants_name_hv_subtown_garrison_01,Vigilante Posts,TRUE,text/_hvo/hv_TEXT_building.loc
,building_culture_variants_name_hv_subtown_garrison_02,Vigilante Barracks,TRUE,text/_hvo/hv_TEXT_building.loc
,building_chains_chain_tooltip_hv_subtown_garrison,Vigilante ,TRUE,text/_hvo/hv_TEXT_building.loc
,building_chains_encyclopedia_name_hv_subtown_garrison,Vigilante ,TRUE,text/_hvo/hv_TEXT_building.loc
,building_chains_override_description_hv_subtown_garrison,Vigilantes patrol the region and harass enemy armies.,TRUE,text/_hvo/hv_TEXT_building.loc
,building_description_texts_long_description_hv_subtown_garrison_01,long_description,TRUE,text/_hvo/hv_TEXT_building.loc
,building_description_texts_long_description_hv_subtown_garrison_02,long_description,TRUE,text/_hvo/hv_TEXT_building.loc
,building_description_texts_short_description_hv_subtown_garrison_01,short_description,TRUE,text/_hvo/hv_TEXT_building.loc
,building_description_texts_short_description_hv_subtown_garrison_02,short_description,TRUE,text/_hvo/hv_TEXT_building.loc
,building_description_texts_long_description_hv_subtown_garrison_ytr_01,long_description,TRUE,text/_hvo/hv_TEXT_building.loc
,building_description_texts_long_description_hv_subtown_garrison_ytr_02,long_description,TRUE,text/_hvo/hv_TEXT_building.loc
,building_description_texts_short_description_hv_subtown_garrison_ytr_01,short_description,TRUE,text/_hvo/hv_TEXT_building.loc
,building_description_texts_short_description_hv_subtown_garrison_ytr_02,short_description,TRUE,text/_hvo/hv_TEXT_building.loc
,building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_subtown,Attached Building,TRUE,text/_hvo/hv_TEXT_building.loc
,building_culture_variants_name_hv_subtown_danyang_01,Danyang Troop Barrack,TRUE,text/_hvo/hv_TEXT_building.loc
,building_culture_variants_name_hv_subtown_danyang_02,Danyang Troop Encampment,TRUE,text/_hvo/hv_TEXT_building.loc
,building_chains_chain_tooltip_hv_subtown_danyang,Danyang Troop Post,TRUE,text/_hvo/hv_TEXT_building.loc
,building_chains_encyclopedia_name_hv_subtown_danyang,Danyang Troop Post,TRUE,text/_hvo/hv_TEXT_building.loc
,building_chains_override_description_hv_subtown_danyang,The people of Danyang have a reputation for bravery. Tao Qian has turned them into a well-trained army.,TRUE,text/_hvo/hv_TEXT_building.loc
,building_description_texts_long_description_hv_subtown_danyang_01,long_description,TRUE,text/_hvo/hv_TEXT_building.loc
,building_description_texts_long_description_hv_subtown_danyang_02,long_description,TRUE,text/_hvo/hv_TEXT_building.loc
,building_description_texts_short_description_hv_subtown_danyang_01,short_description,TRUE,text/_hvo/hv_TEXT_building.loc
,building_description_texts_short_description_hv_subtown_danyang_02,short_description,TRUE,text/_hvo/hv_TEXT_building.loc
,building_culture_variants_name_hv_subtown_confucius_01,Confucius Institute,TRUE,text/_hvo/hv_TEXT_building.loc
,building_chains_chain_tooltip_hv_subtown_confucius,Confucius Institute,TRUE,text/_hvo/hv_TEXT_building.loc
,building_chains_encyclopedia_name_hv_subtown_confucius,Confucius Institute,TRUE,text/_hvo/hv_TEXT_building.loc
,building_chains_override_description_hv_subtown_confucius,A place where great teachers and passionate students gather.,TRUE,text/_hvo/hv_TEXT_building.loc
,building_description_texts_long_description_hv_subtown_confucius_01,long_description,TRUE,text/_hvo/hv_TEXT_building.loc
,building_description_texts_short_description_hv_subtown_confucius_01,short_description,TRUE,text/_hvo/hv_TEXT_building.loc
