Key,Text,Tooltip,Short key,All,Override by key,Mapped by text,Old,Vanilla,Exact,Eng-short,File
uied_component_texts_localised_string_header_label_NewState_Text_16002f,CUSTOM BATTLE (WIP),FALSE,,自定义战斗（WIP）,,自定义战斗（WIP）,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],,,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],!hv_TEXT_system.loc
campaign_localised_strings_string_unit_locked_ceo,You do not have the prerequisite: %S.,FALSE,,您没有所需的：%S。,,您没有所需的：%S。,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],,,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],!hv_TEXT_system.loc
ceo_nodes_description_3k_dlc05_ancillary_title_blood_dragon_01,Win a battle where one of your generals personally kills 300 or more soldiers,FALSE,,赢得一场您的一名将领亲自杀敌三百人的战斗,,赢得一场您的一名将领亲自杀敌三百人的战斗,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],,,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],!hv_TEXT_system.loc
ceo_nodes_description_3k_dlc05_ancillary_title_blood_dragon_locked_00,Win a battle where one of your generals personally kills 300 or more soldiers,FALSE,,赢得一场您的一名将领亲自杀敌三百人的战斗,,赢得一场您的一名将领亲自杀敌三百人的战斗,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],,,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],!hv_TEXT_system.loc
building_ui_groups_onscreen_name_hv_ui_building_group_nanman,Nanman Infill Development ,FALSE,,南蛮填地开发,,南蛮填地开发,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],,,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_ui_groups_onscreen_name_hv_ui_building_group_subtown_han,Infill Development ,TRUE,,填地开发,,填地开发,附加发展,,附加发展,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_ui_groups_onscreen_name_hv_ui_building_group_subtown_confucius,Confucius Institute,TRUE,,孔子学院,,孔子学院,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],,,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_ui_groups_onscreen_name_hv_ui_building_group_subtown_bandit,Banditry,TRUE,,匪患,,,匪患,匪患,,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_qiang_00,Scattered Qiang Community,TRUE,,羌人散户,,,羌人散户,,羌人散户,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_qiang_01,Qiang Tribal Camp,TRUE,,羌人聚落,,,羌人聚落,,羌人聚落,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_qiang_02,Qiang Tribal Herd,TRUE,,羌人村庄,,,羌人村庄,,羌人村庄,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_chains_chain_tooltip_hv_subtown_qiang,Qiang Tribe,TRUE,,羌人部落,,,羌人部落,,羌人部落,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_chains_encyclopedia_name_hv_subtown_qiang,Qiang Tribe,TRUE,,羌人部落,,,羌人部落,,羌人部落,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_chains_override_description_hv_subtown_qiang,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",TRUE,,这些部落不愿归化，但愿意提供军事援助。,,,这些部落不愿归化，但愿意提供军事援助。,,这些部落不愿归化，但愿意提供军事援助。,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_qiang_01,qiang_01_long_description,TRUE,,长描述,,,长描述,,长描述,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_qiang_02,qiang_02_long_description,TRUE,,长描述,,,长描述,,长描述,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_short_description_texts_short_description_hv_subtown_qiang_01,qiang_01_short_description,TRUE,,短描述,,,短描述,,短描述,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_short_description_texts_short_description_hv_subtown_qiang_02,qiang_02_short_description,TRUE,,短描述,,,短描述,,短描述,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_qiang,Qiang Tribe,TRUE,,羌人部落,,,羌人部落,,羌人部落,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_ui_groups_onscreen_name_hv_ui_building_group_qiang,Nomad,TRUE,,游牧民族,,,游牧民族,,游牧民族,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_wuhuan_00,Scattered Wuhuan Community,TRUE,,乌桓散户,,,乌桓散户,,乌桓散户,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_wuhuan_01,Wuhuan Tribal Camp,TRUE,,乌桓聚落,,,乌桓聚落,,乌桓聚落,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_wuhuan_02,Wuhuan Tribal Herd,TRUE,,乌桓村庄,,,乌桓村庄,,乌桓村庄,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_chains_chain_tooltip_hv_subtown_wuhuan,Wuhuan Tribe,TRUE,,乌桓部落,,,乌桓部落,,乌桓部落,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_chains_encyclopedia_name_hv_subtown_wuhuan,Wuhuan Tribe,TRUE,,乌桓部落,,,乌桓部落,,乌桓部落,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_chains_override_description_hv_subtown_wuhuan,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",TRUE,,这些部落不愿归化，但愿意提供军事援助。,,,这些部落不愿归化，但愿意提供军事援助。,,这些部落不愿归化，但愿意提供军事援助。,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_wuhuan_01,wuhuan_01_long_description,TRUE,,长描述,,,长描述,,长描述,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_wuhuan_02,wuhuan_02_long_description,TRUE,,长描述,,,长描述,,长描述,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_short_description_texts_short_description_hv_subtown_wuhuan_01,wuhuan_01_short_description,TRUE,,短描述,,,短描述,,短描述,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_short_description_texts_short_description_hv_subtown_wuhuan_02,wuhuan_02_short_description,TRUE,,短描述,,,短描述,,短描述,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_wuhuan,Wuhuan Tribe,TRUE,,乌桓部落,,,乌桓部落,,乌桓部落,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_ui_groups_onscreen_name_hv_ui_building_group_wuhuan,Nomad,TRUE,,游牧民族,,,游牧民族,,游牧民族,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_xiongnu_00,Scattered Xiongnu Community,TRUE,,匈奴散户,,,匈奴散户,,匈奴散户,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_xiongnu_01,Xiongnu Tribal Camp,TRUE,,匈奴聚落,,,匈奴聚落,,匈奴聚落,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_xiongnu_02,Xiongnu Tribal Herd,TRUE,,匈奴村庄,,,匈奴村庄,,匈奴村庄,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_chains_chain_tooltip_hv_subtown_xiongnu,Xiongnu Tribe,TRUE,,匈奴部落,,,匈奴部落,,匈奴部落,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_chains_encyclopedia_name_hv_subtown_xiongnu,Xiongnu Tribe,TRUE,,匈奴部落,,,匈奴部落,,匈奴部落,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_chains_override_description_hv_subtown_xiongnu,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",TRUE,,这些部落不愿归化，但愿意提供军事援助。,,,这些部落不愿归化，但愿意提供军事援助。,,这些部落不愿归化，但愿意提供军事援助。,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_xiongnu_01,xiongnu_01_long_description,TRUE,,长描述,,,长描述,,长描述,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_xiongnu_02,xiongnu_02_long_description,TRUE,,长描述,,,长描述,,长描述,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_short_description_texts_short_description_hv_subtown_xiongnu_01,xiongnu_01_short_description,TRUE,,短描述,,,短描述,,短描述,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_short_description_texts_short_description_hv_subtown_xiongnu_02,xiongnu_02_short_description,TRUE,,短描述,,,短描述,,短描述,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_xiongnu,Xiongnu Tribe,TRUE,,匈奴部落,,,匈奴部落,,匈奴部落,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_ui_groups_onscreen_name_hv_ui_building_group_xiongnu,Nomad,TRUE,,游牧民族,,,游牧民族,,游牧民族,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_shanyue_00,Scattered Shanyue Community,TRUE,,山越营地,,,山越营地,,山越营地,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_shanyue_01,Shanyue Tribal Herd,TRUE,,山越聚落,,,山越聚落,,山越聚落,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_shanyue_02,Shanyue Tribal Town,TRUE,,山越集镇,,,山越集镇,,山越集镇,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_chains_chain_tooltip_hv_subtown_shanyue,Shanyue Tribe,TRUE,,山越部落,,,山越部落,,山越部落,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_chains_encyclopedia_name_hv_subtown_shanyue,Shanyue Tribe,TRUE,,山越部落,,,山越部落,,山越部落,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
building_chains_override_description_hv_subtown_shanyue,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",TRUE,,这些部落不愿归化，但愿意提供军事援助。,,,这些部落不愿归化，但愿意提供军事援助。,,这些部落不愿归化，但愿意提供军事援助。,[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc
